lemma	sense	register	grammarPatterns
synthesis	noun	academic,formal	["a synthesis of + noun","the synthesis of A and B"]
synthetic	adjective	technical,neutral	["synthetic + noun","be made of synthetic + noun"]
systematic	adjective	academic,formal	["a systematic + noun","a systematic approach to + noun"]
tablet	noun	neutral,technical	["a tablet of + noun","take + a tablet"]
taboo	noun	neutral,academic	["a taboo against + noun","break a taboo"]
taciturn	adjective	formal,literary	["a taciturn + noun","be taciturn by nature"]
tackle	verb	neutral,business	["tackle + noun","tackle a problem head-on"]
tactic	noun	neutral,business	["a tactic for + V-ing","employ + noun + tactics"]
tactile	adjective	technical,formal	["tactile + noun","provide tactile feedback"]
talent	noun	neutral	["a talent for + V-ing","have a natural talent"]
talented	adjective	neutral	["a talented + noun","be talented at + V-ing"]
tango	noun	neutral	["dance the tango","perform a tango"]
tank	noun	neutral,technical	["a tank of + noun","fill the tank"]
tantamount	adjective	formal	["be tantamount to + noun","be tantamount to + V-ing"]
taper	verb	neutral,technical	["taper off","taper toward + noun"]
tariff	verb	business,formal	["tariff + noun","tariff sth at + noun"]
tarnish	verb	formal	["tarnish + noun","tarnish sb's reputation"]
tasty	adjective	informal,spoken	["a tasty + noun","look tasty"]
tattered	adjective	literary,neutral	["a tattered + noun","old and tattered"]
taut	adjective	neutral,technical	["pull sth taut","keep the rope taut","a taut + noun"]
tease	verb	informal,spoken	["tease sb about + noun","tease sb for + V-ing"]
technician	noun	technical,neutral	["a + noun + technician","call in a technician"]
tedious	adjective	formal	["a tedious + noun","find sth tedious"]
teeter	verb	neutral,literary	["teeter on the brink of + noun","teeter dangerously"]
telegraph	noun	technical,neutral	["by telegraph","send sth by telegraph"]
telescope	noun	technical,academic	["look through a telescope","a powerful telescope"]
temerity	noun	formal,literary	["have the temerity to + verb","the temerity of + noun"]
temper	noun	neutral,spoken	["lose one's temper","control one's temper","have a quick temper"]
temple	noun	neutral	["visit a temple","a temple dedicated to + noun"]
temporarily	adverb	formal	["be temporarily + past participle","temporarily closed"]
temporary	adjective	neutral,business	["a temporary + noun","on a temporary basis"]
tempt	verb	neutral	["tempt sb to + verb","tempt sb into + V-ing","be tempted by + noun"]
temptation	noun	formal	["resist the temptation to + verb","give in to temptation"]
tenacious	adjective	formal,academic	["a tenacious + noun","be tenacious in + V-ing"]
tenacity	noun	formal,academic	["the tenacity to + verb","show tenacity in + V-ing"]
tenancy	noun	formal,business	["a tenancy agreement","during the tenancy"]
tenant	noun	neutral,business	["a tenant of + noun","evict a tenant"]
