lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
engulf	verb	verb	to surround and cover something completely, often suddenly and destructively	吞沒；淹沒；籠罩	常見主詞為火、水、恐慌等，表示迅速且徹底地包圍或吞噬；也可用於情緒，如 engulfed in guilt。	Flames quickly engulfed the entire building.	火焰迅速吞沒了整棟建築物。	[{"text":"engulfed in flames","meaningZh":"被火焰吞噬"}]
enhance	verb	verb	to improve the quality, value, or attractiveness of something	提升；增強；美化	常接 reputation、flavor、experience 等抽象或感官名詞，語氣正面；不用於改善人的品德。	The new lighting really enhances the room's atmosphere.	新的燈光確實提升了房間的氛圍。	[{"text":"enhance performance","meaningZh":"提升表現"}]
enigmatic	adjective	adjective	difficult to understand or interpret; mysterious	難以理解的；神祕的；令人費解的	常修飾 smile、figure、statement，帶有引人好奇、無法完全看透的意味，語氣偏文學。	She gave an enigmatic smile and said nothing more.	她露出一個神祕的微笑，什麼也沒再多說。	[{"text":"an enigmatic smile","meaningZh":"神祕的微笑"}]
enlist	verb	verb	to join the armed forces	從軍；入伍	不及物動詞，常接 in，如 enlist in the army；指主動報名加入軍隊。	He decided to enlist in the navy after high school.	他高中畢業後決定加入海軍。	[{"text":"enlist in the army","meaningZh":"入伍從軍"}]
enlist	verb_help	verb	to obtain someone's help or support for a task	徵求（協助或支持）	及物動詞，常見 enlist someone's help/support，指設法讓他人加入協助行列。	The charity enlisted volunteers to help with the cleanup.	這個慈善機構徵求志工協助清理工作。	[{"text":"enlist someone's help","meaningZh":"尋求某人的協助"}]
enormity	noun	noun	the great or overwhelming size, seriousness, or extent of something, especially something difficult or bad	（事情的）嚴重性；龐大程度	常搭配 the enormity of the situation/task/tragedy，強調規模或後果之巨大，帶有壓迫感；不宜當作 enormousness 的一般同義詞使用。	It took her a while to grasp the enormity of the disaster.	她花了一段時間才理解這場災難的嚴重程度。	[{"text":"the enormity of the task","meaningZh":"任務的艱鉅程度"}]
enormous	adjective	adjective	extremely large in size, extent, or degree	巨大的；龐大的	可修飾具體事物（an enormous building）或抽象概念（enormous pressure），語氣中性，比 huge 稍正式。	The company invested an enormous amount of money in research.	這家公司投入了龐大的資金在研究上。	[{"text":"an enormous amount of","meaningZh":"大量的"}]
enquire	verb	verb	to ask for information	詢問；打聽	英式英語常用拼法（美式多用 inquire）；常接 about 或直接引述問句，語氣正式。	She called to enquire about the opening hours.	她打電話詢問營業時間。	[{"text":"enquire about","meaningZh":"詢問有關……的事"}]
enrage	verb	verb	to provoke someone to intense rage or fury	激怒；使暴怒	及物動詞，常用被動 be enraged by/at，語氣比 anger 更強烈。	The unfair verdict enraged the victim's family.	不公的判決讓受害者家屬非常憤怒。	[{"text":"enraged by the decision","meaningZh":"被這項決定激怒"}]
enroll	verb	verb	to register officially as a member, participant, or student	註冊；登記入學（或入會）	常接 in/on，如 enroll in a course；也可用於 enroll someone（讓某人）加入。	She enrolled in an evening Spanish class.	她報名參加了一堂晚間西班牙語課程。	[{"text":"enroll in a course","meaningZh":"報名課程"}]
enrollment	noun	noun	the act of enrolling, or the number of people enrolled	註冊；入學人數	可指註冊這個動作，也可指在學/入會的總人數，如 enrollment figures。	The school reported a drop in enrollment this year.	這所學校今年的入學人數下降了。	[{"text":"student enrollment","meaningZh":"學生註冊人數"}]
ensemble	noun	noun	a group of musicians, actors, or dancers who perform together	（音樂、戲劇等的）合奏團；全體演出人員	常見於 a jazz/dance ensemble；也可指服裝的整體搭配（an ensemble of clothes）。	The jazz ensemble performed for over two hours.	這個爵士樂團演出了超過兩個小時。	[{"text":"a chamber ensemble","meaningZh":"室內樂團"}]
enshrine	verb	verb	to preserve a right, tradition, or idea in a form that ensures it is protected	（正式）將……載入（法律、憲法等）以確保保障	常見 enshrine a right in law/the constitution，語氣正式，強調賦予制度性保障。	The right to free speech is enshrined in the constitution.	言論自由的權利被載入憲法之中，受到保障。	[{"text":"enshrined in law","meaningZh":"載入法律受到保障"}]
