lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
patriotism	noun	noun	love for and loyal devotion to one's country	愛國心；愛國主義	常見 a sense of patriotism、national patriotism；多用於描述對國家的忠誠與熱愛之情。	The soldiers showed great patriotism during the war.	士兵們在戰爭期間展現了強烈的愛國心。	[{"text":"a sense of patriotism","meaningZh":"愛國情懷"}]
patrol	noun	noun	a group of people or vehicles sent to watch over an area for security	巡邏隊；巡邏	常見 a police patrol、on patrol（正在巡邏）；指負責監視或警戒某區域的人員或行動。	The border patrol stopped the truck for inspection.	邊境巡邏隊攔下那輛卡車進行檢查。	[{"text":"on patrol","meaningZh":"在巡邏中"}]
patrol	verb	verb	to walk or travel around an area to check that it is safe	巡邏；巡視	及物或不及物動詞，常接 the streets、the area 等，強調定期來回查看以維持安全。	Police officers patrol the neighborhood every night.	警察每晚都會在這個社區巡邏。	[{"text":"patrol the streets","meaningZh":"巡邏街道"}]
patron	noun	noun	a person who gives financial or other support to a person, cause, or organization	贊助人；資助者	常見 a patron of the arts（藝術贊助人）；也可指餐廳、商店的常客（regular patron）。	The museum relies on wealthy patrons for its funding.	這座博物館的資金主要依賴富有的贊助人。	[{"text":"a patron of the arts","meaningZh":"藝術贊助人"}]
patronage	noun	noun	the support, especially financial, given by a patron	贊助；資助	常接 arts patronage、political patronage；也可指顧客對商店的惠顧（customer patronage）。	The theater survives thanks to corporate patronage.	這家劇院靠企業贊助才得以維持營運。	[{"text":"under the patronage of","meaningZh":"在……的贊助下"}]
pavement	noun	noun	a hard-surfaced path for pedestrians beside a road	人行道；鋪面	英式英語常指人行道（sidewalk 為美式用法）；也可泛指道路的鋪設表面。	Children were playing hopscotch on the pavement.	孩子們在人行道上玩跳格子遊戲。	[{"text":"walk on the pavement","meaningZh":"走在人行道上"}]
pawn	noun	noun	a chess piece of the lowest value, or a person used by others for their own purposes	（西洋棋）兵卒；（比喻）被利用的人	常見 a pawn in someone's game，比喻指被他人操控、缺乏自主權的人。	He felt like a pawn in his boss's political games.	他覺得自己像是老闆政治鬥爭中的棋子。	[{"text":"a pawn in a political game","meaningZh":"政治角力中的棋子"}]
pawn	verb	verb	to leave an item with a pawnbroker as security for money borrowed	典當；抵押	常接具體物品，如 pawn a ring、pawn one's watch，指以物品換取短期借款。	She had to pawn her jewelry to pay the rent.	她不得不典當首飾來付房租。	[{"text":"pawn a watch","meaningZh":"典當手錶"}]
payable	adjective	adjective	required to be paid, or able to be paid	應付的；可支付的	常見 payable on demand、payable to（付款對象），多用於財務或合約情境。	The invoice is payable within thirty days.	這張發票須於三十天內付清。	[{"text":"payable on demand","meaningZh":"一經要求即應支付"},{"text":"make a cheque payable to","meaningZh":"將支票的受款人寫為"}]
peak	noun	noun	the point of highest value, achievement, or intensity, or the pointed top of a mountain	高峰；巔峰；山頂	常見 at its peak（處於高峰期）、reach a peak（達到頂點），亦可指山的頂端。	Ticket sales reached their peak during the holiday season.	票券銷售在假期期間達到高峰。	[{"text":"at its peak","meaningZh":"在巔峰時期"},{"text":"a mountain peak","meaningZh":"山峰"}]
peck	noun	noun	a quick bite or blow made by a bird's beak, or a quick, light kiss	（鳥）啄；輕吻	常見 a peck on the cheek（在臉頰上輕吻一下），語氣隨意親暱。	She gave him a quick peck on the cheek before leaving.	她離開前在他臉頰上輕吻了一下。	[{"text":"a peck on the cheek","meaningZh":"在臉頰上輕吻一下"}]
peck	verb	verb	(of a bird) to strike or pick up with the beak	啄食；啄	主詞通常是鳥類，常接 at，如 peck at the seeds（啄食種子）。	The chicken pecked at the grains on the ground.	那隻雞啄食著地上的穀粒。	[{"text":"peck at seeds","meaningZh":"啄食種子"}]
peculiar	adjective	adjective	strange or unusual, or distinctive to a particular person or thing	奇怪的；獨特的（某人或某物所特有的）	常見 peculiar to（為……所特有），也可單獨表示「怪異的」，需依上下文判斷語意。	It's peculiar that he didn't call to explain his absence.	他沒打電話說明缺席原因，這很奇怪。	[{"text":"peculiar to","meaningZh":"為某人或某物所特有"},{"text":"a peculiar smell","meaningZh":"奇怪的氣味"}]
peddle	verb	verb	to sell goods, especially by going from place to place, or to spread ideas or rumors	兜售；散布（謠言、觀念）	常接具體商品或抽象事物，如 peddle goods、peddle rumors，後者帶有負面貶意。	The vendor peddled fake watches on the street corner.	那名小販在街角兜售假錶。	[{"text":"peddle goods","meaningZh":"兜售商品"},{"text":"peddle rumors","meaningZh":"散布謠言"}]
pedestrian	noun	noun	a person walking rather than traveling in a vehicle	行人	常見 pedestrian crossing（行人穿越道）、pedestrian zone（行人徒步區），強調步行的人。	Drivers must yield to pedestrians at the crosswalk.	駕駛人必須在行人穿越道禮讓行人。	[{"text":"a pedestrian crossing","meaningZh":"行人穿越道"}]
pedestrian	adjective	adjective	lacking excitement or imagination; commonplace	平淡乏味的；缺乏創意的	常修飾寫作、風格或想法，形容單調無趣、缺乏新意，與行人義項無關。	The critic called the film's plot pedestrian and predictable.	影評人批評這部電影的情節平淡又老套。	[{"text":"a pedestrian performance","meaningZh":"平庸的表現"}]
peel	noun	noun	the outer skin or rind of a fruit or vegetable	（水果或蔬菜的）皮	常見 banana peel、orange peel，指果皮或菜皮本身，而非削皮的動作。	Don't throw the banana peel on the floor.	不要把香蕉皮丟在地上。	[{"text":"orange peel","meaningZh":"橘子皮"},{"text":"banana peel","meaningZh":"香蕉皮"}]
peep	verb	verb	to look quickly and secretly, especially through a small gap	偷看；窺視	常接 at、through，如 peep through the curtains（透過窗簾偷看），語氣帶有隱密、好奇的意味。	He peeped through the keyhole to see who was there.	他從鑰匙孔偷看外面是誰。	[{"text":"peep through a window","meaningZh":"透過窗戶偷看"},{"text":"peep out from behind","meaningZh":"從後面探頭偷看"}]
peer	noun	noun	a person of the same age, status, or ability as another	同儕；同輩	常見 peer pressure（同儕壓力）、peer review（同儕審查），強調地位或年齡相近的群體。	Teenagers often feel pressure to fit in with their peers.	青少年常感受到融入同儕群體的壓力。	[{"text":"peer pressure","meaningZh":"同儕壓力"},{"text":"a peer group","meaningZh":"同儕團體"}]
peer	verb	verb	to look with difficulty or effort, especially at something not clearly visible	瞇眼細看；仔細窺視	常接 at、into、through，如 peer into the darkness（凝視黑暗），強調費力或專注地觀看。	She peered into the box to see what was inside.	她仔細往盒子裡看，想知道裡面裝了什麼。	[{"text":"peer into the darkness","meaningZh":"仔細看向黑暗中"},{"text":"peer through a window","meaningZh":"透過窗戶仔細看"}]
pelt	verb	verb	to throw a number of things at someone, or (of rain) to fall heavily	連續投擲；（雨）猛烈地下	常見 pelt someone with something（用東西連續丟某人）、the rain pelted down（雨勢猛烈）。	The protesters pelted the building with eggs.	抗議者朝那棟建築物連續丟擲雞蛋。	[{"text":"pelt someone with stones","meaningZh":"向某人連續扔石頭"},{"text":"rain pelts down","meaningZh":"雨傾盆而下"}]
penalize	verb	verb	to punish someone for breaking a rule or law, or to put someone at a disadvantage	處罰；使處於不利地位	常接 for，如 penalize someone for lateness（因遲到而處罰某人），也可指制度上造成的不公平。	The team was penalized for having too many players on the field.	該隊因場上球員人數過多而受到處罰。	[{"text":"penalize someone for doing something","meaningZh":"因某人做某事而處罰他"},{"text":"penalize an offender","meaningZh":"處罰違規者"}]
penalty	noun	noun	a punishment for breaking a law, rule, or contract	處罰；罰款；（運動）罰球	常見 pay a penalty、face a penalty，也用於運動比賽中的罰球或罰分。	There is a penalty for canceling the contract early.	提前解約會有罰款。	[{"text":"a financial penalty","meaningZh":"罰款"},{"text":"the death penalty","meaningZh":"死刑"}]
penance	noun	noun	an act of self-punishment or devotion to show sorrow for wrongdoing	懺悔；苦修	常帶宗教色彩，常見 do penance for（為……做懺悔），強調透過自我懲罰表達悔意。	He did penance for his sins by fasting for a week.	他透過禁食一週來為自己的罪過懺悔。	[{"text":"do penance for","meaningZh":"為某事懺悔贖罪"},{"text":"as a penance","meaningZh":"作為贖罪方式"}]
penetrate	verb	verb	to succeed in entering or passing through something, or to gain understanding or access to a market or organization	穿透；滲透；打入（市場等）	常接具體物體或抽象目標，如 penetrate the wall、penetrate a market，需依上下文判斷字面或比喻意。	The bullet penetrated the wooden door.	子彈穿透了那扇木門。	[{"text":"penetrate a market","meaningZh":"打入市場"},{"text":"penetrate the skin","meaningZh":"穿透皮膚"}]
penultimate	adjective	adjective	second to last in a series	倒數第二的	常修飾 chapter、syllable 等序列中的項目，強調位置在最後一個之前。	The penultimate chapter reveals a major plot twist.	倒數第二章揭露了一個重大的劇情轉折。	[{"text":"the penultimate chapter","meaningZh":"倒數第二章"},{"text":"the penultimate day","meaningZh":"倒數第二天"}]
perceive	verb	verb	to become aware of or notice something through the senses, or to interpret something in a particular way	察覺；感知；認為	常接 as，如 perceive something as（將某事視為……），強調主觀的理解或詮釋。	Many people perceive the changes as a step in the right direction.	許多人認為這些改變是朝著正確方向邁出的一步。	[{"text":"perceive something as","meaningZh":"將某事視為"},{"text":"perceive a threat","meaningZh":"察覺威脅"}]
percentage	noun	noun	a rate, number, or amount expressed as a fraction of 100	百分比；比例	常接 of，如 a high percentage of，用於描述整體中所占的比例。	A large percentage of students passed the exam.	有很高比例的學生通過了這次考試。	[{"text":"a high percentage of","meaningZh":"某群體中的高比例"},{"text":"a percentage point","meaningZh":"一個百分點"}]
perception	noun	noun	the way something is regarded, understood, or interpreted, or the ability to notice things through the senses	看法；認知；感知能力	常見 public perception（公眾看法）、perception of reality（對現實的認知），強調主觀理解方式。	Public perception of the company changed after the scandal.	醜聞爆發後，大眾對這家公司的看法改變了。	[{"text":"public perception","meaningZh":"公眾觀感"},{"text":"alter someone's perception of","meaningZh":"改變某人對某事的看法"}]
perch	noun	noun	a place, typically a branch or bar, where a bird rests, or a high or precarious position	（鳥的）棲木；高處的位置	常見 a bird's perch，比喻用法如 a precarious perch（岌岌可危的高位）。	The parrot sat calmly on its perch.	那隻鸚鵡靜靜地站在棲木上。	[{"text":"a bird's perch","meaningZh":"鳥的棲木"},{"text":"a high perch","meaningZh":"高處的落腳點"}]
percussion	noun	noun	musical instruments played by striking or shaking, such as drums	打擊樂器；打擊樂	常見 a percussion instrument、percussion section（打擊樂部），指以敲擊方式發聲的樂器類別。	The percussion section added energy to the orchestra's performance.	打擊樂部為管弦樂團的演出增添了活力。	[{"text":"percussion instruments","meaningZh":"打擊樂器"},{"text":"the percussion section","meaningZh":"打擊樂聲部"}]
perennial	adjective	adjective	lasting for a long time or recurring repeatedly; (of a plant) living for several years	長期存在的；反覆出現的；（植物）多年生的	常見 a perennial problem（長期存在的問題）、perennial plant（多年生植物），依上下文判斷字面或比喻義。	Traffic congestion is a perennial problem in this city.	交通壅塞是這座城市長期存在的問題。	[{"text":"a perennial problem","meaningZh":"長期存在的問題"},{"text":"perennial plants","meaningZh":"多年生植物"}]
performer	noun	noun	a person who performs for an audience, such as an actor or musician	表演者；演出者	常見 a live performer、a top performer（也可指表現優異者，見於商業情境），需依語境判斷。	The performer received a standing ovation after the show.	表演結束後，那位表演者獲得了全場起立鼓掌。	[{"text":"a street performer","meaningZh":"街頭藝人"},{"text":"a solo performer","meaningZh":"獨自演出的表演者"}]
perfume	noun	noun	a fragrant liquid typically made from essential oils, used to give a pleasant smell	香水	常接 wear perfume、a bottle of perfume，指用於身體或衣物上的香氛液體。	She always wears a light floral perfume.	她總是擦著淡淡的花香香水。	[{"text":"wear perfume","meaningZh":"擦香水"},{"text":"a bottle of perfume","meaningZh":"一瓶香水"}]
perfume	verb	verb	to give a pleasant smell to	使芳香；使散發香味	常接 the air、a room 等，如 perfume the air（使空氣充滿香氣），文學語氣較重。	The blooming roses perfumed the entire garden.	盛開的玫瑰使整座花園瀰漫著香氣。	[{"text":"perfume the air","meaningZh":"使空氣瀰漫香氣"}]
perfunctory	adjective	adjective	carried out with minimal effort or reflection, as a routine duty	敷衍了事的；例行公事的	常修飾 greeting、check、apology 等，形容缺乏誠意或用心的行為。	He gave a perfunctory nod and walked away.	他敷衍地點了點頭就走開了。	[{"text":"a perfunctory apology","meaningZh":"敷衍的道歉"},{"text":"a perfunctory glance","meaningZh":"草草一瞥"}]
