lemma	familyLemma	pos	meaningZh
synthesis	synthesize	verb	合成；綜合
synthesis	synthetic	adjective	合成的；人造的
synthetic	synthesis	noun	合成；綜合
synthetic	synthesize	verb	合成；綜合
synthetic	synthetically	adverb	以合成方式
systematic	system	noun	系統；體系
systematic	systematically	adverb	有系統地
systematic	systematize	verb	使系統化
taciturn	taciturnity	noun	沉默寡言
tactic	tactical	adjective	戰術的；策略性的
tactic	tactically	adverb	戰術上；策略上
talent	talented	adjective	有才能的
talent	talentless	adjective	沒有才能的
talented	talent	noun	天賦；才能
talented	talentless	adjective	毫無天賦的
tank	tanker	noun	油輪；油罐車
tarnish	untarnished	adjective	未被玷汙的；光潔的
tasty	taste	noun	味道；品味
tasty	tasteless	adjective	無味的；沒品味的
tattered	tatter	noun	破布；碎片
taut	tauten	verb	拉緊；繃緊
taut	tautly	adverb	緊繃地
taut	tautness	noun	緊繃；緊張
tease	teaser	noun	戲弄者；預告片
technician	technical	adjective	技術的；專業的
technician	technique	noun	技巧；技術手法
technician	technology	noun	科技；技術
tedious	tedium	noun	沉悶；單調乏味
tedious	tediously	adverb	冗長乏味地
tedious	tediousness	noun	乏味；冗長
telegraph	telegraphic	adjective	電報的；電報式的
telegraph	telegraphy	noun	電報術
telescope	telescopic	adjective	望遠鏡的；可伸縮的
temper	temperament	noun	性情；氣質
temper	temperamental	adjective	喜怒無常的
temporarily	temporary	adjective	暫時的；臨時的
temporary	temporarily	adverb	暫時地；臨時地
temporary	temporariness	noun	暫時性
tempt	temptation	noun	誘惑
tempt	tempting	adjective	誘人的；吸引人的
tempt	tempter	noun	誘惑者
temptation	tempt	verb	誘惑；引誘
temptation	tempting	adjective	誘人的
tenacious	tenacity	noun	堅韌；毅力
tenacious	tenaciously	adverb	頑強地；堅持不懈地
tenacity	tenacious	adjective	堅韌不拔的
tenacity	tenaciously	adverb	頑強地
tenancy	tenant	noun	房客；承租人
tenant	tenancy	noun	租賃；租期
tendency	tend	verb	傾向於；易於
tension	tense	adjective	緊繃的；緊張的
tension	tensile	adjective	拉力的；抗張的
tenure	tenured	adjective	有終身職的
terminal	terminate	verb	終止；結束
terminal	termination	noun	終止；終結
terminal	terminally	adverb	末期地；不治地
terminate	termination	noun	終止；解僱
terminate	terminal	adjective	末期的；終點的
termination	terminate	verb	終止；結束
termination	terminal	adjective	終點的；末端的
terrace	terraced	adjective	梯狀的；連棟式的
terrestrial	extraterrestrial	adjective	地球外的；外星的
terribly	terrible	adjective	糟糕的；可怕的
terrific	terrifically	adverb	極好地；非常地
terrify	terror	noun	恐怖；極度恐懼
territorial	territory	noun	領土；地盤
territorial	territoriality	noun	領土性；地盤意識
territory	territorial	adjective	領土的；地盤的
territory	territoriality	noun	領土性
terror	terrify	verb	使極度恐懼
terror	terrorism	noun	恐怖主義
terror	terrorist	noun	恐怖分子
testify	testimony	noun	證詞；證言
testify	testimonial	noun	推薦書；證明書
testimony	testify	verb	作證；證明
testimony	testimonial	adjective	證明的；推薦的
tether	untether	verb	解開繫繩；鬆綁
texture	textural	adjective	質地的；紋理的
theater	theatrical	adjective	戲劇的；誇張做作的
theater	theatrically	adverb	戲劇性地
theft	thief	noun	小偷；竊賊
theft	thieve	verb	行竊；偷竊
thematic	theme	noun	主題；題材
thematic	thematically	adverb	就主題而言
theme	thematic	adjective	主題的；題材的
theme	thematically	adverb	主題上
theoretical	theory	noun	理論；學說
theoretical	theoretically	adverb	理論上
theoretical	theorist	noun	理論家
therapist	therapy	noun	治療；療法
therapist	therapeutic	adjective	治療的；有療效的
therapy	therapist	noun	治療師
therapy	therapeutic	adjective	有療效的
thief	theft	noun	竊盜；偷竊
thief	thieve	verb	行竊
thief	thievery	noun	偷竊行為
thorny	thorn	noun	刺；荊棘
thorough	thoroughly	adverb	徹底地；完全地
thorough	thoroughness	noun	徹底；周密
thoroughly	thorough	adjective	徹底的；周全的
thoroughly	thoroughness	noun	周密；徹底
thoughtful	thought	noun	想法；思考
thoughtful	thoughtfully	adverb	體貼地；深思地
thoughtful	thoughtless	adjective	欠考慮的；不體貼的
thrill	thriller	noun	驚悚片；驚悚小說
throne	enthrone	verb	使登基；擁立
throne	dethrone	verb	廢黜；推翻
thunder	thunderous	adjective	雷鳴般的；轟隆的
tide	tidal	adjective	潮汐的
tight	tighten	verb	使變緊；收緊
tight	tightly	adverb	緊緊地
tight	tightness	noun	緊度；緊繃
tighten	tight	adjective	緊的；牢固的
tighten	tightly	adverb	緊緊地
timorous	timorously	adverb	膽怯地；怯懦地
tire	tireless	adjective	不知疲倦的
tire	tiresome	adjective	令人厭煩的
toast	toaster	noun	烤麵包機
token	tokenism	noun	象徵性做法；敷衍的表態
token	tokenistic	adjective	象徵性的；做做樣子的
tolerance	tolerate	verb	容忍；忍受
tolerance	tolerant	adjective	寬容的；有耐受力的
tolerance	intolerance	noun	不寬容；不耐受
tolerate	tolerance	noun	容忍；寬容
tolerate	tolerant	adjective	寬容的
tolerate	intolerable	adjective	無法忍受的
topic	topical	adjective	時事的；有話題性的
torment	tormentor	noun	折磨者；施虐者
torpor	torpid	adjective	遲鈍的；不活躍的
torrential	torrent	noun	急流；洪流
torture	torturer	noun	施刑者
torture	torturous	adjective	折磨人的；痛苦難熬的
totalitarian	totalitarianism	noun	極權主義
tourism	tourist	noun	觀光客；遊客
tourism	tour	noun	旅遊；遊覽
tourism	touristy	adjective	充滿觀光客的
toxic	toxin	noun	毒素
toxic	toxicity	noun	毒性
toxic	nontoxic	adjective	無毒的
trace	traceable	adjective	可追蹤的；可追溯的
trace	tracer	noun	追蹤劑；追蹤器
tractable	intractable	adjective	棘手的；難駕馭的
tractable	tractability	noun	易處理性；順從
tractor	traction	noun	牽引力；抓地力
traditionally	tradition	noun	傳統
traditionally	traditional	adjective	傳統的
traditionally	traditionalist	noun	傳統主義者
tragedy	tragic	adjective	悲劇的；悲慘的
tragedy	tragically	adverb	悲劇性地
trail	trailer	noun	拖車；預告片
tranquility	tranquil	adjective	寧靜的；平靜的
tranquility	tranquilize	verb	使鎮靜
tranquility	tranquilizer	noun	鎮靜劑
transaction	transact	verb	進行交易；辦理
transaction	transactional	adjective	交易性的
transcend	transcendent	adjective	超凡的；超越的
transcend	transcendence	noun	超越；卓越
transcend	transcendental	adjective	先驗的；超驗的
transcendent	transcend	verb	超越；超脫
transcendent	transcendence	noun	超越性
transcribe	transcription	noun	轉錄；謄寫
transcribe	transcript	noun	文字紀錄；謄本
transcript	transcribe	verb	謄寫；轉錄
transcript	transcription	noun	轉錄；抄本
transfer	transferable	adjective	可轉讓的；可移轉的
transfer	transference	noun	轉移；移情作用
transform	transformation	noun	轉變；蛻變
transform	transformative	adjective	具變革性的
transform	transformer	noun	變壓器
transformation	transform	verb	使轉變；改造
transformation	transformative	adjective	帶來徹底改變的
transgression	transgress	verb	違反；越軌
transgression	transgressive	adjective	越軌的；違規的
transit	transient	adjective	短暫的；過境的
transition	transitional	adjective	過渡的；轉型的
transition	transitory	adjective	短暫的；一時的
translation	translate	verb	翻譯
translation	translator	noun	譯者；翻譯員
translation	translatable	adjective	可翻譯的
transmission	transmit	verb	傳送；傳播
transmission	transmitter	noun	發射器；傳送器
transmit	transmission	noun	傳輸；傳播
transmit	transmitter	noun	發射機
transparent	transparency	noun	透明；透明度
transparent	transparently	adverb	明顯地；透明地
transplant	transplantation	noun	移植術
transplantation	transplant	verb	移植
transpose	transposition	noun	調換；移位；移調
trap	trapper	noun	設陷阱捕獸者
trap	entrap	verb	誘捕；使落入圈套
trash	trashy	adjective	粗劣的；廉價的
trauma	traumatic	adjective	創傷的；令人痛苦的
trauma	traumatize	verb	使受精神創傷
traverse	traversal	noun	橫越；穿越
treasurer	treasury	noun	國庫；財政部
treasurer	treasure	noun	財寶；珍寶
trek	trekker	noun	徒步旅行者
tremendous	tremendously	adverb	極其地；非常地
trend	trendy	adjective	時髦的；趕流行的
trepidation	intrepid	adjective	無畏的；勇敢的
trespass	trespasser	noun	非法侵入者
triangle	triangular	adjective	三角形的
triangle	triangulate	verb	三角測量；三方驗證
tribal	tribe	noun	部落；部族
tribal	tribalism	noun	部落主義
tribe	tribal	adjective	部落的；部族的
tribe	tribesman	noun	部落成員
tribute	tributary	noun	支流；進貢國
trick	tricky	adjective	棘手的；狡猾的
trick	trickery	noun	詭計；欺騙手法
trick	trickster	noun	騙子；詐術者
trim	trimmer	noun	修剪器
triumph	triumphant	adjective	得勝的；歡欣鼓舞的
triumph	triumphal	adjective	凱旋的；慶祝勝利的
triumph	triumphantly	adverb	得意洋洋地
trivial	trivia	noun	瑣事；冷知識
trivial	triviality	noun	瑣碎；微不足道之事
trivial	trivialize	verb	使顯得瑣碎；輕視
tropical	tropics	noun	熱帶地區
tropical	tropic	noun	回歸線
truculent	truculence	noun	好鬥；蠻橫
trumpet	trumpeter	noun	小號手
trustworthy	trust	noun	信任；信賴
trustworthy	trustworthiness	noun	可信賴度
tube	tubular	adjective	管狀的
tube	tubing	noun	管材；管路
tuition	tutor	noun	家教；導師
tumble	tumbler	noun	平底玻璃杯；翻筋斗者
tune	tuner	noun	調諧器；調音師
tune	tuneful	adjective	悅耳的；旋律優美的
turbulent	turbulence	noun	亂流；動盪
turbulent	turbulently	adverb	動盪地；紊亂地
tutor	tutorial	noun	個別指導課；教學指南
tutor	tuition	noun	教學；學費
twist	twister	noun	龍捲風
typical	type	noun	類型；種類
typical	typically	adverb	通常；典型地
typical	typify	verb	為……的典型；象徵
ulcer	ulcerate	verb	潰爛；生潰瘍
ulcer	ulcerous	adjective	潰瘍性的
ultimate	ultimately	adverb	最終；歸根究柢
ultimate	ultimatum	noun	最後通牒
unaffected	affect	verb	影響；波及
unanimous	unanimity	noun	全體一致
unanimous	unanimously	adverb	一致地；全體同意地
uncomfortable	comfortable	adjective	舒適的；自在的
uncomfortable	comfort	noun	舒適；安慰
uncomfortable	uncomfortably	adverb	不舒服地；令人不安地
unconscious	conscious	adjective	有意識的；察覺到的
unconscious	unconsciously	adverb	無意識地
unconscious	unconsciousness	noun	無意識狀態；昏迷
uncover	cover	verb	覆蓋；遮蓋
undergraduate	graduate	noun	畢業生
undergraduate	postgraduate	noun	研究生
understate	understatement	noun	輕描淡寫的說法
understate	overstate	verb	誇大；言過其實
understatement	understate	verb	輕描淡寫；保守陳述
understatement	overstatement	noun	誇大其詞
undertake	undertaking	noun	事業；任務；承諾
undertake	undertaker	noun	殯葬業者
underwrite	underwriter	noun	承銷商；核保人
undoubtedly	doubt	noun	懷疑；疑問
undoubtedly	undoubted	adjective	無庸置疑的
undoubtedly	doubtful	adjective	懷疑的；不確定的
uneasy	ease	noun	安逸；自在
uneasy	uneasily	adverb	不安地
uneasy	uneasiness	noun	不安；忐忑
unemployed	employ	verb	僱用
unemployed	unemployment	noun	失業；失業率
unemployed	employment	noun	就業；僱用
unfair	fair	adjective	公平的；合理的
unfair	unfairly	adverb	不公平地
unfair	unfairness	noun	不公平
unfold	fold	verb	摺疊；對摺
unfounded	found	verb	創建；奠定基礎
unfounded	foundation	noun	基礎；根據
uniform	uniformity	noun	一致性；統一
uniform	uniformly	adverb	一致地；均勻地
unilateral	unilaterally	adverb	單方面地
unilateral	bilateral	adjective	雙邊的
unilateral	unilateralism	noun	單邊主義
unique	uniquely	adverb	獨特地；唯一地
unique	uniqueness	noun	獨特性
unity	unite	verb	聯合；團結
unity	unify	verb	統一；使一體化
unity	unification	noun	統一；整合
universal	universally	adverb	普遍地
universal	universality	noun	普遍性
universal	universe	noun	宇宙
universe	universal	adjective	普遍的；全體的
universe	universally	adverb	普遍地
unlikely	likely	adjective	可能的
unlikely	likelihood	noun	可能性
unmoved	move	verb	移動；使感動
unmoved	movement	noun	移動；運動
unproductive	produce	verb	生產；製造
unproductive	productive	adjective	有生產力的
unproductive	productivity	noun	生產力
unqualified	qualify	verb	使合格；取得資格
unqualified	qualification	noun	資格；條件
unravel	ravel	verb	纏結；使散開
unregulated	regulate	verb	管制；規範
unregulated	regulation	noun	規定；管制
unregulated	regulatory	adjective	監管的；管理的
unrest	restless	adjective	焦躁不安的
unrest	rest	noun	休息；安寧
unscrupulous	scruple	noun	顧忌；道德上的猶豫
unscrupulous	scrupulous	adjective	一絲不苟的；嚴謹正直的
unsettle	settle	verb	安頓；平息；解決
unveil	veil	noun	面紗；遮蔽物
unwarranted	warrant	verb	使…有正當理由；值得
upright	uprightness	noun	正直；廉潔
urban	urbanization	noun	都市化
urban	urbanize	verb	使都市化
urban	suburban	adjective	郊區的
urge	urgent	adjective	緊急的；急迫的
urge	urgency	noun	急迫性
urgency	urgent	adjective	緊急的
urgency	urgently	adverb	緊急地；急迫地
urgent	urgency	noun	緊急；急迫性
urgent	urgently	adverb	急迫地
usage	use	verb	使用
usage	useful	adjective	有用的
usage	user	noun	使用者
useless	use	noun	用途；使用
useless	useful	adjective	有用的
useless	uselessly	adverb	徒勞地
usurp	usurper	noun	篡位者；奪權者
usurp	usurpation	noun	篡奪；奪權
utilitarian	utilitarianism	noun	功利主義
utilitarian	utility	noun	效用；實用性
utility	utilize	verb	利用；使用
utility	utilitarian	adjective	實用的；功利的
utility	utilization	noun	利用；使用率
utilize	utilization	noun	利用；使用
utilize	utility	noun	實用性；效用
utter	utterance	noun	言詞；發言
utterance	utter	verb	說出；發出
utterly	utter	adjective	完全的；徹底的
vacancy	vacant	adjective	空的；空缺的
vacancy	vacate	verb	騰出；搬離
vaccinate	vaccine	noun	疫苗
vaccinate	vaccination	noun	疫苗接種
vaccine	vaccinate	verb	接種疫苗
vaccine	vaccination	noun	接種；疫苗注射
vacillate	vacillation	noun	猶豫不決；搖擺
vague	vaguely	adverb	模糊地；含糊地
vague	vagueness	noun	模糊；含糊
vain	vanity	noun	虛榮心；自負
vain	vainly	adverb	徒勞地；白費力氣地
valiant	valiantly	adverb	英勇地
valiant	valor	noun	英勇；勇氣
valid	validity	noun	有效性；正當性
valid	validate	verb	驗證；使生效
valid	invalid	adjective	無效的
validity	valid	adjective	有效的；合理的
validity	validate	verb	證實；確認有效
valuation	value	noun	價值
valuation	valuable	adjective	有價值的；貴重的
valuation	evaluate	verb	評估；評價
vandalism	vandal	noun	蓄意破壞財物者
vandalism	vandalize	verb	蓄意破壞
vanity	vain	adjective	自負的；徒勞的
vanity	vainly	adverb	徒然地
variable	vary	verb	變化；不同
variable	variability	noun	可變性；變異度
variable	variation	noun	變化；差異
variance	vary	verb	不同；變化
variance	variant	adjective	變異的；不同版本的
variance	variable	adjective	可變的；多變的
variant	vary	verb	變化；有所不同
variant	variation	noun	變體；變化
variant	variance	noun	差異；不一致
variation	vary	verb	變化；不同
variation	variable	adjective	可變的
variation	variant	noun	變體；異體
vary	variation	noun	變化；差異
vary	variable	adjective	可變的；多變的
vary	various	adjective	各式各樣的
vascular	cardiovascular	adjective	心血管的
vast	vastly	adverb	極大地；大大地
vast	vastness	noun	廣闊；浩瀚
vegetation	vegetate	verb	生長；過單調的生活
vegetation	vegetable	noun	蔬菜
vegetation	vegetative	adjective	植物的；植物性的
vein	venous	adjective	靜脈的
vein	intravenous	adjective	靜脈注射的
velvet	velvety	adjective	如天鵝絨般柔滑的
vendor	vend	verb	販賣；出售
venerable	venerate	verb	崇敬；敬仰
venerable	veneration	noun	崇敬；敬仰
venerate	veneration	noun	崇敬
venerate	venerable	adjective	德高望重的
vengeance	avenge	verb	替…報仇
vengeance	vengeful	adjective	報復心強的
vengeance	revenge	noun	報復；復仇
venture	venturesome	adjective	大膽的；愛冒險的
venture	adventure	noun	冒險；奇遇
verbal	verbally	adverb	口頭上；以言語
verbal	verb	noun	動詞
verbal	verbose	adjective	冗長囉嗦的
verify	verification	noun	驗證；核實
verify	verifiable	adjective	可驗證的
veritable	verity	noun	真實；真理
veritable	veritably	adverb	確實地；名副其實地
versatile	versatility	noun	多才多藝；多功能性
verse	versify	verb	作詩；以詩表達
verse	versification	noun	作詩法；韻文寫作
vertical	vertically	adverb	垂直地
vertical	verticality	noun	垂直性
viability	viable	adjective	可行的；能存活的
vibrate	vibration	noun	震動；振動
vibrate	vibrant	adjective	充滿活力的；鮮明的
vicar	vicarage	noun	牧師住宅
vicious	viciously	adverb	兇狠地；惡毒地
vicious	viciousness	noun	兇惡；惡毒
vicious	vice	noun	惡習；缺點
victimize	victim	noun	受害者
victimize	victimization	noun	受害；受欺凌
victor	victory	noun	勝利
victor	victorious	adjective	勝利的；獲勝的
vigorous	vigor	noun	活力；精力
vigorous	vigorously	adverb	精力充沛地；強烈地
vigorous	invigorate	verb	使有活力；振奮
vile	vileness	noun	卑劣；惡劣
vile	vilify	verb	誹謗；詆毀
vindicate	vindication	noun	昭雪；證明正當
vindicate	vindictive	adjective	報復心重的
vine	vineyard	noun	葡萄園
violate	violation	noun	違反；侵犯
violate	violator	noun	違反者；違規者
violation	violate	verb	違反；侵犯
violation	violator	noun	違規者
violent	violence	noun	暴力；猛烈
violent	violently	adverb	猛烈地；暴力地
virtual	virtually	adverb	幾乎；實際上
virtual	virtualization	noun	虛擬化
virtually	virtual	adjective	虛擬的；實質上的
virtue	virtuous	adjective	有德行的
virtue	virtuously	adverb	品德高尚地
virtuous	virtue	noun	美德；優點
virtuous	virtuously	adverb	有德行地
virulent	virulence	noun	毒性；惡毒
virulent	virus	noun	病毒
virus	viral	adjective	病毒的；瘋傳的
virus	virulent	adjective	劇毒的；致命的
visceral	viscerally	adverb	發自內心地
visceral	viscera	noun	內臟
visual	visually	adverb	視覺上
visual	visualize	verb	想像；使視覺化
visual	vision	noun	視力；願景
vital	vitality	noun	活力；生命力
vital	vitally	adverb	極其重要地
vital	vitalize	verb	賦予生命力
vivid	vividly	adverb	生動地；鮮明地
vivid	vividness	noun	鮮明；生動
vocal	vocally	adverb	以聲音；直言地
vocal	vocalize	verb	發聲；表達
vocal	vocalist	noun	歌手；主唱
vocational	vocation	noun	職業；天職
vocational	vocationally	adverb	職業上地
volatile	volatility	noun	波動性；易變性
volatile	volatilize	verb	使揮發
volcanic	volcano	noun	火山
volcano	volcanic	adjective	火山的
voltage	volt	noun	伏特
voluminous	volume	noun	體積；容量
voluntary	volunteer	noun	志工；自願者
voluntary	voluntarily	adverb	自願地
voluntary	involuntary	adjective	非自願的；不由自主的
volunteer	voluntary	adjective	自願的；志願的
volunteer	voluntarily	adverb	自願地
voracious	voracity	noun	貪婪；貪食
voracious	voraciously	adverb	貪婪地；如飢似渴地
voucher	vouch	verb	擔保；保證
vulnerable	vulnerability	noun	脆弱性；易受傷害
vulnerable	invulnerable	adjective	無懈可擊的；刀槍不入的
waiter	waitress	noun	女服務生
waiter	wait	verb	服侍；伺候
waitress	waiter	noun	男服務生
wander	wanderer	noun	漫遊者；流浪者
ward	warden	noun	管理員；看守人
warden	ward	noun	病房；受監護人
warrant	warranty	noun	保固；保證書
warrant	unwarranted	adjective	無正當理由的
warranty	warrant	noun	保證；令狀
wary	wariness	noun	謹慎；戒心
wary	warily	adverb	謹慎地；小心翼翼地
wary	beware	verb	當心；提防
weary	weariness	noun	疲倦；厭倦
weary	wearily	adverb	疲倦地
weary	wearisome	adjective	令人厭倦的
weave	weaver	noun	織工；編織者
weep	weepy	adjective	愛哭的；淚汪汪的
weird	weirdly	adverb	怪異地
weird	weirdness	noun	怪異；詭異
weird	weirdo	noun	怪人
whimsical	whim	noun	一時興起的念頭
whimsical	whimsy	noun	異想天開；怪念頭
whimsical	whimsically	adverb	異想天開地
wholesome	wholesomeness	noun	有益健康；正派
wholesome	unwholesome	adjective	不健康的；不正派的
wholesome	whole	adjective	全部的；完整的
wicked	wickedly	adverb	邪惡地；淘氣地
wicked	wickedness	noun	邪惡；惡行
widow	widower	noun	鰥夫
widow	widowhood	noun	守寡；孀居
width	wide	adjective	寬的；廣的
width	widen	verb	加寬；擴大
width	widely	adverb	廣泛地
wilderness	wild	adjective	野生的；荒蕪的
willful	willfully	adverb	蓄意地；任性地
willful	will	noun	意志；意願
willful	willfulness	noun	任性；固執
wistful	wistfully	adverb	惆悵地；若有所思地
wistful	wistfulness	noun	惆悵；眷戀
witch	witchcraft	noun	巫術
witch	bewitch	verb	對…施法；使著迷
withdraw	withdrawal	noun	撤回；提款
withdrawal	withdraw	verb	撤回；提取
wobble	wobbly	adjective	搖晃的；不穩的
wool	woolen	adjective	羊毛的；羊毛製的
wool	woolly	adjective	羊毛般的；含糊不清的
worship	worshipper	noun	崇拜者；禮拜者
worship	worshipful	adjective	崇敬的；虔誠的
worthwhile	worth	noun	價值
worthwhile	worthy	adjective	值得的；配得上的
worthy	worth	noun	價值
worthy	worthiness	noun	值得；有價值
worthy	unworthy	adjective	不值得的；不配的
wrap	wrapper	noun	包裝紙；外包裝
wrestle	wrestler	noun	摔角選手
yacht	yachtsman	noun	駕駛帆船者
youngster	young	adjective	年輕的
youngster	youth	noun	青年；青春
zealot	zeal	noun	熱忱；熱情
zealot	zealous	adjective	熱衷的；狂熱的
zealot	zealotry	noun	狂熱；盲信
zone	zonal	adjective	區域的；分區的
zone	zoning	noun	土地分區管制
