lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
loyal	adjective	adjective	steadfast in allegiance or duty to a person, group, or cause	忠誠的；忠實的	常搭配 loyal to，如 loyal to a friend／a country；也可修飾 customer、supporter 等名詞。	She remained loyal to her friends even during hard times.	即使在困難時期，她對朋友依然忠誠。	[{"text":"loyal to","meaningZh":"忠於……"},{"text":"a loyal customer","meaningZh":"忠實顧客"}]
lucid	adjective	adjective	expressed clearly and easy to understand	清晰易懂的；條理分明的	常修飾 explanation、writing 或 argument；也可形容人在神智清醒、思路清楚的狀態，如 a lucid moment。	His lucid explanation made the complex topic easy to follow.	他清晰的解說讓這個複雜的主題變得容易理解。	[{"text":"a lucid explanation","meaningZh":"清楚的解釋"},{"text":"lucid prose","meaningZh":"條理清晰的文章"}]
lucrative	adjective	adjective	producing a sizeable profit	獲利的；賺錢的	常修飾 business、deal、career 等；強調金錢上的利益，語氣偏正式。	They signed a lucrative contract with the software company.	他們與這家軟體公司簽下一份獲利豐厚的合約。	[{"text":"a lucrative business","meaningZh":"賺錢的生意"},{"text":"a lucrative contract","meaningZh":"利潤豐厚的合約"}]
ludicrous	adjective	adjective	so obviously absurd as to be laughable	荒謬可笑的；滑稽的	語氣比 ridiculous 更強烈，常用於 It's ludicrous that...句型，帶有不可置信的語氣。	It's ludicrous to think we could finish the project in one day.	認為我們能在一天內完成這個專案，簡直荒謬。	[{"text":"a ludicrous suggestion","meaningZh":"荒謬的建議"},{"text":"utterly ludicrous","meaningZh":"完全荒唐可笑"}]
lukewarm	sense_temperature	adjective	only moderately warm	微溫的	常形容飲料、食物或水的溫度，如 lukewarm coffee，意指不夠熱也不冰。	He complained that the soup was only lukewarm.	他抱怨這碗湯只是微溫的。	[{"text":"lukewarm water","meaningZh":"微溫的水"}]
lukewarm	sense_enthusiasm	adjective	showing little enthusiasm or interest	不熱衷的；反應冷淡的	常見 a lukewarm response／reception，形容態度不積極也不反對，介於支持與反對之間。	The proposal received a lukewarm response from the committee.	這項提案得到委員會不冷不熱的回應。	[{"text":"a lukewarm response","meaningZh":"冷淡的回應"},{"text":"a lukewarm reception","meaningZh":"不熱烈的接待"}]
lull	sense_noun	noun	a temporary period of quiet or reduced activity	暫時的平靜；間歇	常見 a lull in the conversation／fighting，指原本活躍的狀態暫時停歇。	There was a brief lull in the storm before it intensified again.	暴風雨曾有短暫的平息，隨後又再度增強。	[{"text":"a lull in the conversation","meaningZh":"談話中的短暫沉默"},{"text":"a lull in the fighting","meaningZh":"戰鬥的暫時平息"}]
lull	sense_verb	verb	to calm someone, often by deception, into complacency or sleep	哄騙使安心；使放鬆戒心	常見 lull someone into a false sense of security，帶有欺騙、麻痺對方警覺的意味。	The steady rocking lulled the baby to sleep.	規律的搖晃哄得寶寶睡著了。	[{"text":"lull someone into a false sense of security","meaningZh":"使某人產生虛假的安全感"}]
lump	sense_together	verb	to put different things together into one group without distinguishing them	把…混為一談；歸併在一起	常用 lump together，帶有草率、不加區分的意味，可能是中性或帶批評語氣。	The report lumps all small businesses together regardless of their size.	這份報告不分規模，把所有小型企業都混為一談。	[{"text":"lump together","meaningZh":"混為一談"},{"text":"lump someone in with","meaningZh":"把某人與……歸為同類"}]
lunatic	sense_noun	noun	a person regarded as extremely foolish or reckless	瘋子；狂人	口語用法，常帶強烈負面或誇張語氣，形容行為極度荒唐或危險的人。	Only a lunatic would drive that fast in the snow.	只有瘋子才會在雪地裡開這麼快。	[{"text":"drive like a lunatic","meaningZh":"像瘋子般開車"}]
lunatic	sense_adjective	adjective	extremely foolish or reckless	瘋狂的；荒唐的	常修飾 idea、scheme 等，語氣誇張，表示極不合理或危險。	They came up with a lunatic scheme to cross the desert on foot.	他們想出了一個瘋狂的計畫，要徒步穿越沙漠。	[{"text":"a lunatic scheme","meaningZh":"瘋狂荒唐的計畫"}]
lung	noun	noun	either of the two organs in the chest used for breathing	肺；肺臟	常見複數 lungs，用於呼吸系統相關語境，如 lung cancer、lung capacity。	Smoking can seriously damage your lungs.	抽菸會嚴重傷害你的肺。	[{"text":"lung cancer","meaningZh":"肺癌"},{"text":"at the top of your lungs","meaningZh":"扯開嗓門地"}]
lurid	adjective	adjective	shockingly vivid or sensational, especially in describing something disturbing	聳人聽聞的；血腥渲染的	常見 lurid details／headlines，形容媒體或敘述誇張渲染暴力、犯罪等細節。	The newspaper published lurid details of the crime scene.	這家報紙刊登了案發現場聳人聽聞的細節。	[{"text":"lurid details","meaningZh":"聳人聽聞的細節"},{"text":"lurid headlines","meaningZh":"煽情的標題"}]
luscious	adjective	adjective	extremely pleasing to taste or the senses	甘美多汁的；誘人可口的	常形容水果、甜點等食物，強調味道濃郁、令人垂涎。	The pie was filled with luscious, ripe strawberries.	這個派裡裝滿了甘美多汁的成熟草莓。	[{"text":"luscious fruit","meaningZh":"甘美多汁的水果"},{"text":"a luscious dessert","meaningZh":"誘人可口的甜點"}]
luxurious	adjective	adjective	characterized by luxury and great comfort	豪華的；奢華的	常修飾 hotel、lifestyle、fabric 等，強調高級舒適，帶正面評價語氣。	They stayed in a luxurious suite overlooking the beach.	他們住在一間可俯瞰海灘的豪華套房。	[{"text":"a luxurious hotel","meaningZh":"豪華飯店"},{"text":"luxurious surroundings","meaningZh":"奢華的環境"}]
luxury	noun	noun	a state of great comfort or elegance, especially one that is not necessary	奢侈；奢華的享受	可數或不可數，常見 live in luxury、a luxury item，強調非必需卻令人愉悅的享受。	Owning a car was once considered a luxury in that country.	在那個國家，擁有一輛車曾經被視為一種奢侈。	[{"text":"live in luxury","meaningZh":"過奢華生活"},{"text":"a luxury item","meaningZh":"奢侈品"}]
lynch	verb	verb	to kill someone, especially by hanging, without a legal trial as an act of mob violence	私刑處死（尤指未經審判由暴民動用私刑）	通常指群眾未經司法程序即施以私刑致死，帶有強烈的歷史與社會批判意味。	The mob threatened to lynch the accused man before police intervened.	暴民威脅要對這名被控告的男子動用私刑，直到警方介入。	[{"text":"a lynch mob","meaningZh":"私刑暴民"},{"text":"lynch an innocent man","meaningZh":"對無辜男子施以私刑處死"}]
lyric	sense_noun	noun	the words of a song	歌詞	常用複數 lyrics，指歌曲的文字部分，與旋律 melody 相對。	She wrote the lyrics for the band's new single.	她為樂團的新單曲寫了歌詞。	[{"text":"song lyrics","meaningZh":"歌詞"},{"text":"write lyrics","meaningZh":"作詞"}]
lyric	sense_adjective	adjective	expressing personal emotion in a songlike or poetic way	抒情的	常見 lyric poetry／poem，強調表達個人情感、風格優美的詩歌。	The poet is known for his lyric verses about nature.	這位詩人以描寫自然的抒情詩聞名。	[{"text":"lyric poetry","meaningZh":"抒情詩"},{"text":"a lyric soprano","meaningZh":"抒情女高音"}]
macabre	adjective	adjective	disturbing because concerned with death or violence	以死亡或暴力為主題的；令人毛骨悚然的	常修飾 tale、humor、scene 等，帶有詭異、令人不安的氣氛。	The museum's macabre exhibit featured tools used in medieval executions.	博物館這個令人毛骨悚然的展覽展出了中世紀處決所用的工具。	[{"text":"a macabre discovery","meaningZh":"令人毛骨悚然的發現"},{"text":"macabre humour","meaningZh":"涉及死亡的恐怖幽默"}]
magical	adjective	adjective	having qualities suggestive of magic or producing a wonderful, enchanting effect	有魔力的；魔幻般的	可形容真正的魔法，也可比喻氣氛、經驗美好得不可思議，如 a magical evening。	They spent a magical evening watching the sunset together.	他們一起看著日落，度過了一個奇幻美好的夜晚。	[{"text":"magical powers","meaningZh":"魔力"},{"text":"a magical experience","meaningZh":"奇妙迷人的體驗"}]
magnanimous	adjective	adjective	generous and forgiving, especially toward a rival or someone in a weaker position	寬宏大量的；慷慨大度的	常見 magnanimous in victory，指在自己占優勢時仍展現大度，不趁人之危。	The winning team was magnanimous in victory, praising their opponents.	獲勝的隊伍展現了寬宏大量的風度，稱讚了對手。	[{"text":"magnanimous in victory","meaningZh":"獲勝後寬宏大量"},{"text":"a magnanimous gesture","meaningZh":"寬厚的舉動"}]
magnetic	sense_physics	adjective	having the properties of a magnet, or relating to magnetism	有磁性的；磁力的	常見 magnetic field、magnetic force，屬物理學語境，描述磁鐵或磁場的特性。	The compass needle aligns with the Earth's magnetic field.	指南針的指針會與地球的磁場對齊。	[{"text":"a magnetic field","meaningZh":"磁場"},{"text":"magnetic force","meaningZh":"磁力"}]
magnetic	sense_personality	adjective	having a compelling and attractive quality that draws people in	有魅力的；吸引人的	常見 magnetic personality／presence，比喻某人具有強烈吸引他人注意與喜愛的特質。	The speaker had a magnetic presence that captivated the audience.	這位講者具有令人著迷的魅力，深深吸引了觀眾。	[{"text":"a magnetic personality","meaningZh":"極具魅力的個性"}]
magnificent	adjective	adjective	extremely beautiful, elaborate, or impressive	壯麗的；宏偉的；出色的	常修飾 building、view、performance 等，語氣強烈，表達由衷讚嘆。	The palace offers a magnificent view of the entire valley.	這座宮殿可以俯瞰整個山谷的壯麗景色。	[{"text":"a magnificent view","meaningZh":"壯麗景色"},{"text":"a magnificent achievement","meaningZh":"卓越成就"}]
magnify	verb	verb	to make something appear larger than it is, or to increase its importance or effect	放大；誇大	常接 image、problem 等；magnify a lens 用於實際放大影像，magnify a problem 則是誇大或加重其嚴重性。	A microscope can magnify a cell thousands of times.	顯微鏡能將細胞放大數千倍。	[{"text":"magnify an image","meaningZh":"放大影像"},{"text":"magnify a problem","meaningZh":"誇大問題"}]
