lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
ceremony	noun	noun	a formal event held to mark an important occasion	正式的儀式；典禮	常接 wedding／graduation ceremony，指依循固定形式舉行的正式活動。	The graduation ceremony lasted almost two hours.	這場畢業典禮持續了將近兩個小時。
certainty	noun	noun	the state of being completely sure about something	確定；肯定	常見 with certainty（肯定地）或 a certainty（確定的事），語氣比 probability 更強。	No one can predict the outcome with absolute certainty.	沒有人能百分之百確定結果會是如何。
certification	noun	noun	official confirmation that someone or something has met certain standards	認證；證明	常接 professional certification，指經正式審核後取得的資格證明，如 teaching certification。	She earned her teaching certification last year.	她去年取得了教師資格認證。
chamber	noun	noun	a room used for a particular purpose, especially a formal one	房間；廳室	常見於正式或特定用途空間，如 council chamber（議事廳）、gas chamber（毒氣室）。	The senators gathered in the main chamber to vote.	參議員們聚集在主廳投票。
chancellor	noun	noun	a senior government official or head of a university	（德、奧等國的）總理；（大學）校長	依語境不同：在德國指政府首長，在英美大學則常指名譽校長或校監。	The chancellor announced new economic reforms.	總理宣布了新的經濟改革方案。
champagne	noun	noun	a sparkling white wine originally from the Champagne region of France	香檳	不可數名詞，常見於慶祝場合，如 pop the champagne（開香檳慶祝），指法國香檳區出產的氣泡白酒。	They opened a bottle of champagne to celebrate the promotion.	他們開了一瓶香檳慶祝升遷。
champion	noun	noun	a person who has won a competition or contest, or a strong supporter of a cause	冠軍；（理念的）擁護者	可指比賽的優勝者（world champion），也可指積極支持某項理念或群體的人（a champion of human rights）。	She became the champion of the tournament after three straight wins.	她連勝三場後成為這場錦標賽的冠軍。
champion	verb	verb	to support a cause or person strongly and publicly	支持；擁護	及物動詞，常見 champion a cause，強調公開且積極地為某項理念或群體發聲。	The senator has long championed environmental protection.	這位參議員長期以來一直支持環境保護。
championship	noun	noun	a competition to determine the best team or individual in a sport	錦標賽；冠軍賽	常見 win a championship，指決定某項運動最佳隊伍或個人的正式比賽。	The team won the national championship last year.	這支隊伍去年贏得了全國錦標賽冠軍。
channel	noun	noun	a means of communication or a broadcasting frequency	管道；頻道	常見 news channel（新聞頻道）、communication channel（溝通管道），也可指電視台頻道。	He switched the television to a sports channel.	他把電視轉到體育頻道。
channel	noun_figurative	noun	a route or outlet through which something is directed, such as energy or resources	（資源、精力等）導向的途徑	常見 channel one's energy／resources into something 的搭配片語，此處 channel 作名詞使用。	He found a healthy channel for his frustration.	他找到了宣洩挫折感的健康管道。
chaos	noun	noun	complete disorder and confusion	混亂；一片混沌	不可數名詞，常見 in chaos（陷入混亂）或 total chaos，語氣強烈，多用於描述失控場面。	The city fell into chaos after the storm hit.	暴風雨來襲後，這座城市陷入了一片混亂。
chapel	noun	noun	a small building or room used for Christian worship	小教堂；禮拜堂	通常比 church 規模小，常附屬於學校、醫院或城堡等機構內。	The wedding took place in a small chapel on campus.	婚禮在校園裡的一座小教堂舉行。
characteristic	noun	noun	a typical or distinguishing feature of someone or something	特徵；特質	常接 a defining characteristic，指足以辨識或區分事物的顯著特點。	Curiosity is one of her most notable characteristics.	好奇心是她最明顯的特質之一。
characteristic	adjective	adjective	typical of a particular person, thing, or group	典型的；有特色的	常接 of，如 characteristic of，表示某特徵是該人或事物一貫的表現。	He responded with his characteristic calm.	他以一貫的沉著冷靜作出回應。
characterization	noun	noun	the way a person or thing is described or portrayed	描寫方式；塑造（角色）	常用於文學或戲劇評論，指作者如何刻劃人物性格與形象。	The novel is praised for its vivid characterization.	這部小說因人物刻劃生動而備受讚譽。
characterize	verb	verb	to describe the typical qualities of someone or something	描述；描繪特徵	常用被動式 be characterized by，表示某事物以某種特質為顯著標誌。	The era was characterized by rapid technological change.	那個時代的特徵是科技迅速發展。
