lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
forgo	verb	verb	to choose not to have or do something, often something desirable	放棄；捨棄（原可享有之事物）	及物動詞，常接名詞或動名詞，forgo dessert、forgo the opportunity；語氣比 give up 更正式。	She decided to forgo dessert to save money for the trip.	她決定放棄甜點，把錢省下來去旅行。
forlorn	adjective	adjective	sad and lonely because of neglect or loss	孤獨淒涼的；被遺棄而悲傷的	常修飾人的表情、處境或荒廢的地方，forlorn hope 則是固定用法，指渺茫的希望。	The forlorn dog waited outside the empty house.	那隻可憐的狗在空屋外淒涼地等待著。
format	noun	noun	the way information, a document, or a program is arranged or presented	格式；形式；編排方式	常接 in ... format，如 in digital format；也用於節目形式，如 talk show format。	Please submit the report in PDF format.	請以 PDF 格式繳交報告。
format	verb	verb	to arrange text, data, or a program in a particular structure or style	將資料設定為特定格式；編排	電腦用語常見 format a document 或 format a hard drive（後者指初始化磁碟，會清除資料）。	You need to format the document before printing it.	列印前你需要先設定文件的格式。
formation	noun	noun	the process of forming or developing something, or the way something is arranged	形成；構造；編隊	常接 the formation of，如 the formation of a company；亦用於軍事或飛行隊形，如 in formation。	The formation of the new government took several weeks.	新政府的組成花了好幾週的時間。
formerly	adverb	adverb	at an earlier time; in the past	從前；以前	常置句首或修飾職稱，如 formerly known as；比 before 更正式，強調狀態已改變。	The building was formerly a factory before it became a museum.	這棟建築以前是工廠，後來才變成博物館。
formidable	adjective	adjective	inspiring fear or respect through being impressively powerful, large, or capable	令人敬畏的；強大難以應付的	常修飾對手、任務或人物，formidable opponent 指難纏的對手，語氣正式且帶敬意。	She built a formidable reputation as a defense lawyer.	她建立起令人敬畏的辯護律師名聲。
formula	noun	noun	a mathematical or scientific rule expressed in symbols	公式；算式	數學或科學脈絡常用，如 a chemical formula；也可指固定的解決方法，如 a winning formula。	Students must memorize the formula for calculating area.	學生必須背誦計算面積的公式。
formulate	verb	verb	to develop or express an idea, plan, or opinion in a precise and systematic way	明確擬定；系統性地表達（想法、計畫）	常接 plan、strategy、policy 等抽象名詞，強調經過思考後清楚陳述。	The committee spent months formulating a new policy.	委員會花了數個月擬定新政策。
forsake	verb	verb	to leave or abandon someone or something one has a duty or attachment to	遺棄；拋棄（有責任或情感連結的對象）	語氣文學、正式，常見於誓言或書面語，如 forsake one's friends；日常口語較少用。	He vowed never to forsake his family.	他發誓絕不遺棄自己的家人。
forth	adverb	adverb	forward or out, especially into view or existence	向前；向外（顯現出來）	常見固定片語 back and forth（來回）、from this day forth（從今以後），單獨使用時語氣書面。	The plan was set forth in the committee's report.	該計畫已在委員會的報告中提出。
forthcoming	adjective	adjective	about to happen or appear soon; planned for the near future	即將到來的；準備要發生的	常修飾 event、election、book 等，如 the forthcoming election；正式用語，常見於新聞報導。	Details about the forthcoming concert will be released next week.	有關即將舉行的演唱會的細節將於下週公布。
forthright	adjective	adjective	direct and outspoken in expressing opinions	直率的；坦白的	常用來形容說話方式或個性，帶正面意味，強調誠實不拐彎抹角，如 a forthright answer。	He gave a forthright answer to the reporter's difficult question.	他直率地回答了記者的刁鑽問題。
fortify	verb	verb	to strengthen a place against attack, or to strengthen something in general	加強防禦；使堅固；增強	常見 fortify a city（建築防禦工事）或抽象用法 fortify one's resolve（堅定決心）。	The ancient walls were built to fortify the city against invasion.	這些古城牆是為了抵禦入侵而建造的防禦工事。
fortnight	noun	noun	a period of two weeks	兩星期；十四天	英式英語常用詞，美式英語較少見，常見 a fortnight ago、in a fortnight。	We are going on holiday for a fortnight.	我們要去度假兩個星期。
fortuitous	adjective	adjective	happening by a lucky chance rather than by design	偶然幸運的；碰巧的	強調意外卻帶來好結果的巧合，常修飾 meeting、event，語氣正式。	Their meeting at the conference was entirely fortuitous.	他們在研討會上的相遇完全是偶然的幸運。
fortunate	adjective	adjective	having good luck; favored by fortunate circumstances	幸運的；走運的	常接 to be fortunate to do something 或 fortunate enough，語氣比 lucky 稍正式。	We were fortunate to find a parking spot so close to the venue.	我們很幸運能在會場附近找到停車位。
fortune	noun	noun	a large amount of money or wealth	一大筆財富；巨款	常見 make a fortune（賺大錢）、cost a fortune（花費昂貴），為口語常用誇飾表達。	He made a fortune investing in real estate.	他靠投資房地產賺了一大筆財富。
fortune	noun_luck	noun	chance or luck as an unpredictable force affecting people's lives	命運；運氣	常見 good fortune／bad fortune，或 tell someone's fortune（算命）；比 luck 更帶宿命意味。	She believes her good fortune comes from hard work, not luck.	她相信自己的好運來自努力，而非單純的運氣。
forum	noun	noun	a place, meeting, or medium for open discussion of ideas	論壇；公開討論的場所	現在常指網路論壇 online forum，也可指公開辯論的實體場合，如 a public forum。	The website hosts a forum where users can discuss language learning.	這個網站設有一個讓使用者討論語言學習的論壇。
fossil	noun	noun	the preserved remains or impression of a plant or animal from a past geological age	化石	常接 fossil fuel（化石燃料）等複合詞，也可比喻守舊的人（口語，稍帶貶意）。	Scientists discovered a dinosaur fossil in the desert.	科學家在沙漠中發現了一個恐龍化石。
foster	verb	verb	to encourage the development or growth of something	培養；促進（發展、成長）	常接抽象名詞，如 foster creativity、foster relationships，語氣正式積極。	The program aims to foster creativity among young students.	這項計畫旨在培養年輕學生的創造力。
foster	verb_child	verb	to bring up a child that is not one's own, typically not through legal adoption	寄養；代養（非親生子女）	常見 foster a child、foster parent（寄養家庭），與 adopt（正式收養）不同，寄養通常屬臨時性質。	They have fostered several children over the years.	這些年來他們寄養過好幾個孩子。
