lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
mystery	noun	noun	something that cannot be explained or understood	謎；奧秘	常接 solve a mystery（解開謎團）；也可指懸疑小說類型，如 a mystery novel。	The disappearance of the ship remains a mystery.	那艘船的失蹤至今仍是個謎。	[{"text":"solve a mystery","meaningZh":"解開謎團"}]
mystic	adjective	adjective	having spiritual power or mysterious qualities beyond normal understanding	神秘的；玄妙的	常修飾 experience、ritual 等宗教或靈性相關的名詞，語氣偏正式或文學。	The temple was said to have mystic powers.	據說這座寺廟具有神秘的力量。	[{"text":"mystic powers","meaningZh":"神秘力量"}]
mystic	noun	noun	a person who seeks spiritual truth through meditation or contemplation	神秘主義者；靈修者	常指追求與神或宇宙合一體驗的宗教修行者，語氣中性偏學術。	The mystic spent years meditating in the mountains.	這位神秘主義者花了數年時間在山中冥想。	[{"text":"a religious mystic","meaningZh":"宗教神秘主義者"}]
myth	noun	noun	a traditional story explaining natural or social phenomena, or a widely held but false belief	神話；迷思	可指古代神話故事，也可比喻普遍流傳但不正確的看法，如 a common myth。	It's a myth that we only use 10% of our brains.	人類只用百分之十的大腦是個迷思。	[{"text":"debunk a myth","meaningZh":"破除迷思"}]
nail	noun	noun	a thin pointed piece of metal used for fastening wood or other materials	釘子	常見 hammer a nail（釘釘子）；hit the nail on the head 是常用慣用語，表示說中重點。	He hammered the nail into the wall to hang the picture.	他把釘子釘進牆裡以掛上這幅畫。	[{"text":"a rusty nail","meaningZh":"生鏽的釘子"}]
nail	verb	verb	to fasten something with a nail, or to succeed at something precisely	釘牢；（口語）精準達成	物理義接 nail A to B；口語比喻用法如 nail an interview（面試表現完美）。	She nailed the presentation without a single mistake.	她把這次簡報做得完美無缺。	[{"text":"nail down","meaningZh":"釘牢或敲定細節"}]
naive	adjective	adjective	showing a lack of experience or judgment, especially believing things too easily	天真的；幼稚的	帶輕微負面意味，暗示缺乏世故或容易被騙，常見 naive to think that...。	It was naive of him to trust a stranger with his savings.	他把積蓄託付給陌生人，實在太天真了。	[{"text":"a naive assumption","meaningZh":"天真的假設"}]
naked	adjective	adjective	without clothes, or (of an object) without a usual covering or protection	裸體的；未加掩飾的	常見 naked eye（肉眼）、the naked truth（赤裸裸的事實），比喻用法強調毫無掩飾。	The stars were visible even to the naked eye.	即使用肉眼也能看見星星。	[{"text":"the naked eye","meaningZh":"肉眼"}]
narcotic	noun	noun	a drug that affects mood or behavior and induces sleep, often used illegally	麻醉藥；毒品	常用複數 narcotics 泛指毒品，語氣正式，常見於法律或醫學情境。	Police seized a large quantity of narcotics at the border.	警方在邊境查獲大量毒品。	[{"text":"an addictive narcotic","meaningZh":"會使人成癮的麻醉藥"}]
narcotic	adjective	adjective	relating to or having the effect of a narcotic drug	麻醉性的；具鎮靜作用的	常修飾 effect、drug，指使人昏睡或麻痺感官的藥理性質。	The medication has a mild narcotic effect.	這種藥物具有輕微的麻醉作用。	[{"text":"narcotic effects","meaningZh":"麻醉效果"}]
narrative	noun	noun	a spoken or written account of connected events; a story	敘事；故事	常見 personal narrative、historical narrative，也可指公開場合建構的說法，如 political narrative。	The novel's narrative unfolds through multiple characters' perspectives.	這本小說的敘事透過多個角色的視角展開。	[{"text":"a personal narrative","meaningZh":"個人敘事"}]
narrative	adjective	adjective	in the form of, or relating to, storytelling	敘事的	常修飾 style、technique，指與說故事手法或結構相關。	The film uses a nonlinear narrative structure.	這部電影採用非線性的敘事結構。	[{"text":"narrative structure","meaningZh":"敘事結構"}]
narrator	noun	noun	a person who tells or reads aloud the story in a book, film, or play	敘述者；旁白	常見於小說第一人稱 narrator，或影片中負責旁白的人。	The narrator's voice guided viewers through the documentary.	旁白的聲音引導觀眾看完整部紀錄片。	[{"text":"an unreliable narrator","meaningZh":"不可靠的敘述者"}]
narrow	adjective	adjective	of small width, especially in relation to length	狹窄的	常修飾 road、gap、margin，也可比喻指思想狹隘，如 narrow-minded。	They squeezed through a narrow alley to reach the market.	他們擠過一條狹窄的巷子才到達市場。	[{"text":"a narrow street","meaningZh":"狹窄街道"}]
narrow	verb	verb	to become or make something less wide, or to reduce in scope	使變窄；縮小範圍	物理義如 the road narrows；比喻用法如 narrow down the options（縮小選項範圍）。	Please narrow down your search to the last five years.	請將搜尋範圍縮小到最近五年。	[{"text":"narrow down the options","meaningZh":"縮小選項範圍"}]
nascent	adjective	adjective	just coming into existence and beginning to show signs of future development	新興的；剛萌芽的	常修飾 industry、movement，強調處於初期發展階段，語氣正式書面。	The nascent solar industry attracted significant investment.	這個新興的太陽能產業吸引了大量投資。	[{"text":"a nascent industry","meaningZh":"新興產業"}]
nasty	adjective	adjective	unpleasant, unkind, or disgusting in some way	令人不快的；惡劣的；卑鄙的	可形容天氣、傷口、態度等，如 a nasty cut、a nasty remark，語氣口語且帶負面情緒。	He said something nasty about her behind her back.	他在她背後說了些惡毒的話。	[{"text":"a nasty surprise","meaningZh":"令人不快的意外"}]
nationality	noun	noun	the legal status of belonging to a particular nation	國籍	常見 dual nationality（雙重國籍）；填表格時常見欄位為 nationality。	She holds dual nationality, British and Canadian.	她擁有英國和加拿大的雙重國籍。	[{"text":"dual nationality","meaningZh":"雙重國籍"}]
nationwide	adjective	adjective	extending or applying throughout a whole nation	全國性的	常修飾 survey、campaign、shortage，強調範圍涵蓋整個國家。	The company launched a nationwide advertising campaign.	這家公司發起了一場全國性的廣告宣傳活動。	[{"text":"a nationwide survey","meaningZh":"全國性調查"}]
