lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
detection	noun	noun	the act or process of discovering or identifying something	偵測；發現；察覺	常見 crime detection、smoke detection、early detection（早期發現）；強調找出隱藏或不易察覺的事物。	Early detection of the disease greatly improved her chances of recovery.	這種疾病的早期發現大幅提高了她康復的機會。	[{"text":"early detection","meaningZh":"早期發現"}]
detective	noun	noun	a person, often a police officer, who investigates crimes	偵探；刑警	常見 private detective（私家偵探）、detective novel（偵探小說）；指負責調查案件、蒐集證據的人。	The detective questioned three witnesses before making an arrest.	這名警探在逮捕嫌犯前先訊問了三名目擊者。	[{"text":"a private detective","meaningZh":"私家偵探"}]
deter	verb	verb	to discourage someone from doing something, especially through fear or difficulty	嚇阻；阻止	常接 from，如 deter someone from doing something；常用於犯罪、戰爭等語境，強調使人因恐懼或困難而打消念頭。	Higher fines are intended to deter drivers from speeding.	提高罰款是為了嚇阻駕駛人超速。	[{"text":"deter someone from doing something","meaningZh":"嚇阻某人做某事"}]
determination	noun	noun	firmness of purpose; resolve	決心；毅力	常搭配 with determination、show great determination；強調堅持到底、不輕言放棄的態度。	Her determination to succeed helped her overcome every obstacle.	她成功的決心幫助她克服了每一個障礙。	[{"text":"sheer determination","meaningZh":"純粹憑藉堅定的決心"}]
detest	verb	verb	to dislike someone or something intensely	極為厭惡；痛恨	語氣比 dislike 強烈許多，接名詞或動名詞，如 detest liars；帶強烈負面情緒，較少用於輕微不喜歡。	He detests being interrupted while he's working.	他工作時最痛恨被打斷。	[{"text":"detest hypocrisy","meaningZh":"痛恨虛偽"}]
detonate	verb	verb	to explode or cause something to explode	引爆；爆炸	常見於炸彈、爆裂物相關語境，如 detonate a bomb；及物與不及物用法皆有。	The bomb squad safely detonated the device in a controlled explosion.	拆彈小組以受控爆破的方式安全引爆了這個裝置。	[{"text":"detonate a bomb","meaningZh":"引爆炸彈"}]
detour	noun	noun	a longer route taken to avoid something or to visit an extra place	繞道；迂迴路線	常見 take a detour、make a detour；可指實際繞路，也可比喻偏離原定計畫。	We took a detour to avoid the traffic jam on the highway.	我們繞道而行，以避開高速公路上的塞車。	[{"text":"take a detour","meaningZh":"繞道而行"}]
detour	verb	verb	to take a different, usually longer route	繞道而行；改道	常接 around/via，如 detour around the construction site；強調刻意改變路線。	The bus had to detour around the flooded road.	公車必須繞過淹水的道路。	[{"text":"detour around roadworks","meaningZh":"繞過施工路段"}]
detrimental	adjective	adjective	tending to cause harm or damage	有害的；不利的	常搭配 to，如 detrimental to one's health；語氣正式，較 harmful 更常用於書面或學術語境。	Excessive screen time can be detrimental to children's eyesight.	過度使用螢幕可能對孩童視力有害。	[{"text":"detrimental to health","meaningZh":"有害健康的"}]
devastate	verb	verb	to destroy or severely damage something, or to overwhelm someone emotionally	摧毀；使極度悲痛	可指實際破壞（如地震摧毀城鎮），也可指精神上的重創，如 devastated by the loss，兩種用法都常見。	The earthquake devastated the entire coastal region.	這場地震摧毀了整個沿海地區。	[{"text":"be devastated by the news","meaningZh":"因消息而悲痛欲絕"}]
