lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
contiguous	adjective	adjective	very close together in space or touching along a boundary	相鄰的；接壤的	常見 contiguous states/countries（相鄰的州／國家），強調邊界相連，無空隙。	The contiguous states of the United States exclude Alaska and Hawaii.	美國本土相連的各州不包括阿拉斯加和夏威夷。	[{"text":"contiguous states","meaningZh":"相連的各州"}]
continent	noun	noun	one of the earth's main continuous landmasses	洲；大陸	指地球七大洲之一，如 Asia、Africa，為地理學基本概念。	Africa is the second-largest continent in the world.	非洲是世界第二大洲。	[{"text":"the African continent","meaningZh":"非洲大陸"}]
continent	adjective	adjective	able to control one's bladder and bowel movements	能自制大小便的	醫學用語，常與 incontinent（無法自制）相對，用於描述生理控制能力。	After the surgery, the patient gradually became fully continent again.	手術後，病人逐漸恢復完全的大小便自控能力。	[{"text":"fully continent","meaningZh":"大小便完全能自控的"}]
continental	adjective	adjective	relating to or characteristic of a continent, especially mainland Europe	大陸的；歐陸的	常見 continental breakfast（歐陸式早餐）、continental climate（大陸型氣候），強調與某大陸相關的特徵。	They stayed in a hotel that served a continental breakfast every morning.	他們住的飯店每天早上都供應歐陸式早餐。	[{"text":"continental Europe","meaningZh":"歐洲大陸"}]
continually	adverb	adverb	happening repeatedly or constantly over a period of time	不斷地；持續反覆地	強調動作一再重複發生，常與進行式連用，如 continually complaining（不斷抱怨）。	He continually interrupted the meeting with unnecessary questions.	他不斷用不必要的問題打斷會議。	[{"text":"continually changing","meaningZh":"不斷變化的"}]
continuation	noun	noun	the act of continuing something, or something that continues from what came before	延續；持續；續篇	常見 a continuation of，指事件或作品接續先前的部分，如 a continuation of the story（故事的續篇）。	The sequel is a direct continuation of the first film's storyline.	這部續集直接延續了第一部電影的劇情。	[{"text":"a continuation of the discussion","meaningZh":"討論的延續"}]
continuity	noun	noun	the state of being continuous or unbroken over time	連續性；連貫性	常見 continuity of care（照護的連續性）、maintain continuity（維持連貫），強調前後一致、不中斷。	The company values continuity in its leadership to ensure stable growth.	該公司重視領導層的連續性，以確保穩定成長。	[{"text":"continuity of care","meaningZh":"照護的連續性"}]
continuous	adjective	adjective	going on without interruption or pause	連續不斷的；持續的	常修飾 process、improvement、line 等，強調中間沒有間斷，與 continual（間歇反覆）略有不同。	The factory operates on a continuous production line around the clock.	這間工廠的生產線全天候不間斷運作。	[{"text":"continuous monitoring","meaningZh":"持續監測"}]
contractor	noun	noun	a person or company that undertakes a contract to provide materials or labor for construction work	承包商	常見 building contractor、independent contractor，指承接工程或服務合約的個人或公司。	They hired a contractor to renovate their kitchen.	他們僱用了一位承包商來翻修廚房。	[{"text":"an independent contractor","meaningZh":"獨立承包人"}]
contradiction	noun	noun	a combination of statements or ideas that oppose one another	矛盾；對立	常見 a contradiction in terms（自相矛盾的說法），強調兩者邏輯上不相容。	His claim to support free speech seemed a contradiction of his actions.	他自稱支持言論自由，卻與他的行為自相矛盾。	[{"text":"a contradiction in terms","meaningZh":"用詞自相矛盾"}]
contrary	adjective	adjective	opposite in nature, direction, or meaning	相反的；對立的	常見 contrary to（與……相反），用於正式或書面語境比較兩者的差異。	Contrary to popular belief, the Great Wall is not visible from space.	與一般人的看法相反，萬里長城從太空中其實看不到。	[{"text":"contrary to expectations","meaningZh":"與預期相反"}]
contrary	noun	noun	the opposite state or fact	相反的事物	常見 on the contrary（正相反），用於反駁前述說法並提出相反主張。	I never said I disliked it; on the contrary, I loved it.	我從沒說我不喜歡它；正相反，我非常喜歡。	[{"text":"on the contrary","meaningZh":"恰恰相反"}]
contravene	verb	verb	to act in a way that violates or conflicts with a law, rule, or agreement	違反；牴觸	正式法律用語，常見 contravene a law/regulation，強調行為與規定直接衝突。	The company's practices were found to contravene environmental regulations.	該公司的作法被發現違反了環保法規。	[{"text":"contravene the law","meaningZh":"違反法律"}]
contrite	adjective	adjective	feeling or showing sincere remorse for wrongdoing	懊悔的；痛悔的	正式書面用語，常見 a contrite apology（誠懇悔過的道歉），強調發自內心的悔意。	She gave a contrite apology after realizing how much she had hurt him.	她意識到自己傷害他有多深後，誠懇地道了歉。	[{"text":"a contrite apology","meaningZh":"充滿悔意的道歉"}]
contrive	verb	verb	to plan or bring about with cleverness or skill, sometimes through artificial means	設法做到；策劃（常帶造作意味）	常見 contrive to do something，語氣略帶負面，暗示手段刻意或不自然。	He contrived a scheme to avoid paying his share of the rent.	他設法策劃了一個逃避繳付租金份額的計謀。	[{"text":"contrive to escape","meaningZh":"設法逃脫"}]
controversial	adjective	adjective	giving rise to public disagreement or debate	有爭議的	常修飾 issue、decision、figure 等，強調引發不同意見或爭論。	Genetic modification of crops remains a controversial topic.	農作物的基因改造至今仍是個具爭議性的話題。	[{"text":"a controversial issue","meaningZh":"有爭議的議題"}]
controversy	noun	noun	a prolonged public disagreement or heated discussion	爭議；爭論	常見 spark controversy（引發爭議）、a source of controversy，指公開且持續的意見分歧。	The politician's remarks sparked widespread controversy.	這位政治人物的言論引發了廣泛的爭議。	[{"text":"spark controversy","meaningZh":"引發爭議"}]
conundrum	noun	noun	a confusing or difficult problem with no easy solution	難題；謎題	書面用語，常見 face a conundrum，強調問題複雜且難以抉擇。	Balancing work and family life remains a conundrum for many parents.	兼顧工作與家庭生活，對許多父母來說始終是個難題。	[{"text":"an ethical conundrum","meaningZh":"倫理難題"}]
convenience	noun	noun	the quality of being useful, easy, or suitable for one's needs	便利；方便	常見 for convenience、a convenience store（便利商店），強調節省時間或省事。	The app was designed for the convenience of busy commuters.	這個應用程式是為了方便忙碌的通勤族而設計的。	[{"text":"at your convenience","meaningZh":"在你方便時"}]
convenient	adjective	adjective	fitting in well with a person's needs or plans; easy to use or reach	方便的；便利的	常見 a convenient location/time，強調符合需求、不費力，日常對話與書面皆常用。	The new subway station is very convenient for our office.	這個新的捷運站對我們的辦公室來說非常方便。	[{"text":"convenient for commuters","meaningZh":"對通勤者方便的"}]
convention	noun	noun	a way of behaving that is accepted by most people, or a large formal meeting	慣例；習俗；大會	一義為社會普遍接受的習慣做法（social convention），另一義為正式集會（a political convention）。	It is a convention to shake hands when meeting someone for the first time.	初次見面時握手是一種普遍的社交慣例。	[{"text":"social convention","meaningZh":"社會慣例"}]
converge	verb	verb	to come together from different directions to meet at a point	匯聚；聚集；趨於一致	常見 converge on a place（匯聚到某地）或 opinions converge（意見趨於一致），強調從分散趨向集中。	Roads from three different towns converge at this intersection.	三個不同城鎮的道路都匯聚在這個路口。	[{"text":"converge on a point","meaningZh":"匯聚於一點"}]
conversely	adverb	adverb	in a way that reverses the situation or statement just mentioned	相反地；反過來說	用於正式書面語，銜接兩個對立的論點，如學術論述或報告中比較兩種情況。	Exercise can boost energy levels; conversely, inactivity often leads to fatigue.	運動能提升活力；相反地，缺乏活動往往會導致疲勞。	[{"text":"and conversely","meaningZh":"反過來也一樣"}]
conversion	noun	noun	the process of changing from one form, state, or belief to another	轉換；改變；皈依	常見 currency conversion（貨幣兌換）、religious conversion（宗教皈依），依語境指不同類型的轉變。	The conversion of the warehouse into apartments took over a year.	把這座倉庫改建成公寓花了一年多的時間。	[{"text":"conversion to Christianity","meaningZh":"皈依基督教"}]
convert	verb	verb	to change something into a different form, or to change one's beliefs	轉換；使改變信仰	常見 convert A into B（把 A 轉換成 B），也可指宗教信仰的改變。	They converted the old barn into a cozy guesthouse.	他們把這座老穀倉改建成了一間舒適的民宿。	[{"text":"convert into electricity","meaningZh":"轉換成電力"}]
convert	noun	noun	a person who has changed their religious or political beliefs	改信者；轉變信仰的人	常見 a recent convert to，強調某人新近轉變立場或信仰。	She became a convert to Buddhism after years of searching for meaning.	經過多年尋找人生意義後，她成為了一名佛教皈依者。	[{"text":"a convert to Buddhism","meaningZh":"皈依佛教者"}]
convertible	adjective	adjective	able to be changed or exchanged into another form	可轉換的；可兌換的	常見 convertible currency（可兌換貨幣）、a convertible sofa bed（可變形沙發床）。	The bonds are convertible into company shares after five years.	這些債券在五年後可以轉換成公司股份。	[{"text":"convertible currency","meaningZh":"可兌換貨幣"}]
convertible	noun	noun	a car with a folding or detachable roof	敞篷車	日常用語，指車頂可收起或拆卸的汽車款式。	He drove a red convertible along the coastal highway.	他開著一輛紅色敞篷車沿著濱海公路行駛。	[{"text":"a convertible car","meaningZh":"敞篷車"}]
convey	verb	verb	to communicate an idea, feeling, or impression	傳達；表達	常見 convey a message/feeling，強調透過言語、文字或表情將意思傳遞給他人。	Her tone of voice conveyed a deep sense of concern.	她的語氣傳達出深切的關心。	[{"text":"convey a message","meaningZh":"傳達訊息"}]
conviction	noun	noun	a firm belief, or the formal declaration that someone is guilty of a crime	堅定的信念；（法律）定罪	一義指個人堅信不移的想法（a strong conviction），另一義指法院判決有罪（a criminal conviction）。	He spoke with such conviction that the audience was easily persuaded.	他說話語氣如此堅定，觀眾很容易就被說服了。	[{"text":"a criminal conviction","meaningZh":"刑事定罪"}]
convince	verb	verb	to cause someone to believe firmly in the truth of something	說服；使相信	常見 convince someone to do/that，強調透過理由或證據讓對方信服，語氣比 persuade 更著重信念改變。	It took a lot of evidence to convince the jury of his innocence.	需要大量證據才能說服陪審團相信他是無辜的。	[{"text":"convince someone of the truth","meaningZh":"使某人相信真相"}]
cooperate	verb	verb	to work jointly with others towards the same goal	合作；配合	常見 cooperate with someone/on something，強調共同努力達成目標，語氣中性正式。	The two departments agreed to cooperate on the new project.	這兩個部門同意在新專案上互相合作。	[{"text":"cooperate with the police","meaningZh":"配合警方"}]
cooperation	noun	noun	the process of working together for a common purpose or mutual benefit	合作；協力	常見 in cooperation with（與……合作）、international cooperation，強調雙方或多方共同努力的關係。	The peace agreement was reached through years of diplomatic cooperation.	這項和平協議是歷經多年外交合作才達成的。	[{"text":"international cooperation","meaningZh":"國際合作"}]
cooperative	adjective	adjective	willing to help or work together with others	合作的；願意配合的	常見 a cooperative attitude（合作的態度），描述人樂於配合、不抗拒他人要求。	The children were cooperative and cleaned up after the activity without complaint.	孩子們很配合，活動結束後乖乖收拾，毫無怨言。	[{"text":"a cooperative attitude","meaningZh":"合作的態度"}]
