lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
productivity	noun	noun	the rate at which goods or services are produced, especially in relation to the resources used	生產力；生產效率	常見搭配 increase/boost productivity、labor productivity；多用於經濟、職場情境，強調產出與投入的比例。	The new software boosted the team's productivity significantly.	這款新軟體大幅提升了團隊的生產力。	[{"text":"increase productivity","meaningZh":"提升生產力"}]
profession	noun	noun	an occupation requiring specialized education and training, especially one regarded as respectable	專業；職業	指需要專門訓練或證照的職業，如醫生、律師；常見 by profession（就職業而言）。	She is a lawyer by profession.	她的職業是律師。	[{"text":"the legal profession","meaningZh":"法律界"}]
proffer	verb	verb	to offer something for someone to accept	提供；提議	正式用語，較 offer 更書面；常接建議、意見或協助等抽象事物。	He proffered his resignation after the scandal.	醜聞爆發後，他提出了辭呈。	[{"text":"proffer advice","meaningZh":"提供建議"}]
proficient	adjective	adjective	competent or skilled in doing something	精通的；熟練的	常搭配 in/at，如 proficient in French；強調經訓練後達到的熟練程度。	She is proficient in three languages.	她精通三種語言。	[{"text":"proficient in English","meaningZh":"精通英語"}]
profile	noun	noun	a brief written description of someone's or something's notable characteristics	簡介；概述	常見 a profile of + 人/機構，或 social media profile（社群帳號檔案）。	The magazine published a profile of the rising young chef.	這本雜誌刊登了一篇關於這位新銳主廚的簡介。	[{"text":"a company profile","meaningZh":"公司簡介"}]
profligate	adjective	adjective	recklessly wasteful, especially with money	揮霍無度的；奢侈浪費的	常修飾 spending、lifestyle；語氣帶批評，指毫無節制地花費金錢。	The company's profligate spending led to its bankruptcy.	這家公司揮霍無度的花費最終導致破產。	[{"text":"profligate spending","meaningZh":"揮霍無度的開支"}]
profound	adjective	adjective	very great or intense; having deep insight or meaning	深遠的；深刻的	可修飾情感、影響或思想，如 profound effect、profound insight，語氣正式。	The book had a profound influence on her thinking.	這本書對她的思想產生了深遠的影響。	[{"text":"a profound impact","meaningZh":"深遠的影響"}]
prognosis	noun	noun	a doctor's judgment about the likely course of a disease	預後；病情預測	醫學用語，指對疾病未來發展的專業判斷；亦可比喻用於預測經濟情勢等。	The doctor gave him a favorable prognosis after the surgery.	手術後醫生對他的預後表示樂觀。	[{"text":"a favorable prognosis","meaningZh":"良好的預後"}]
progressive	adjective	adjective	favoring new ideas, reform, or gradual social change	進步的；改革派的	常修飾 policy、party，指支持社會改革或現代化的立場，與 conservative 相對。	The city adopted progressive policies on public transportation.	這座城市在大眾運輸方面採取了進步的政策。	[{"text":"progressive policies","meaningZh":"進步的政策"}]
prohibit	verb	verb	to formally forbid something by law or rule	禁止	正式用語，常用被動 be prohibited from doing something，或 prohibit smoking 等。	Smoking is prohibited inside the building.	大樓內禁止吸菸。	[{"text":"prohibit someone from doing something","meaningZh":"禁止某人做某事"}]
projectile	noun	noun	an object that is thrown or launched through the air, especially as a weapon	發射物；拋射物	多見於物理或軍事語境，指子彈、飛彈等被發射出去的物體。	The catapult launched the projectile over the castle wall.	投石機將發射物射過了城牆。	[{"text":"fire a projectile","meaningZh":"發射拋射物"}]
projection	noun	noun	an estimate or forecast of a future situation based on current trends	預測；推算	常見 sales projection、population projection，指依現有數據推估未來的結果。	The company's sales projection for next year looks promising.	公司對明年銷售額的預測看起來相當樂觀。	[{"text":"sales projections","meaningZh":"銷售預測"}]
proliferate	verb	verb	to increase rapidly in number or spread quickly	激增；擴散	常用於描述問題、資訊或物種快速增加，如 weapons proliferate、rumors proliferate。	Fake news has proliferated on social media in recent years.	近年來假新聞在社群媒體上迅速擴散。	[{"text":"cells proliferate rapidly","meaningZh":"細胞迅速增殖"}]
prolong	verb	verb	to make something last longer	延長	常接 life、meeting、agony 等，強調使某事持續更久的時間。	The medication helped prolong her life by several years.	這種藥物幫助她延長了好幾年的壽命。	[{"text":"prolong the agony","meaningZh":"延長痛苦"}]
prominent	adjective	adjective	important or well-known; noticeable or conspicuous	卓越的；顯眼的	可指人（知名人士）或物（明顯的特徵），如 prominent figure、prominent nose。	He is a prominent scientist in the field of genetics.	他是遺傳學領域中一位卓越的科學家。	[{"text":"a prominent figure","meaningZh":"知名人物"}]
