lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh	collocations
sydney	noun	noun	the largest city in Australia, located in New South Wales on the southeastern coast	雪梨（澳洲最大城市，位於新南威爾斯州東南沿岸）	專有名詞，字首通常大寫（Sydney），此處為字典匯入的小寫形式；常見於旅遊、地理主題文章。	Sydney is famous for its opera house and harbor bridge.	雪梨以歌劇院和港灣大橋聞名。	[{"text":"Sydney Harbour","meaningZh":"雪梨港"}]
tether	verb	verb	to tie an animal or object with a rope or chain so it cannot move far	用繩索或鏈條拴住（動物或物體），限制其活動範圍	常見搭配 tether a goat/horse to a post；固定片語 at the end of one's tether 表示忍耐已到極限，是由本義引申而來的常見用法。	The farmer tethered the goat to a stake in the field.	農夫把山羊拴在田裡的一根樁子上。	[{"text":"tether a horse to a post","meaningZh":"把馬拴在柱子上"}]
textbook	noun	noun	a book used for the formal study of a subject, especially in schools	教科書；課本	常見搭配 a chemistry/history textbook；textbook 也可作形容詞表示「典型的」，如 a textbook example。	The chemistry textbook covers all the topics for the final exam.	這本化學課本涵蓋了期末考的所有主題。	[{"text":"a school textbook","meaningZh":"學校教科書"},{"text":"a textbook on economics","meaningZh":"經濟學教科書"}]
textile	adjective	adjective	relating to the production of cloth or fabric	紡織的；織物的	常見搭配 textile industry/factory/mill；也可作名詞指紡織品，但此詞條在語料庫中登記為形容詞用法。	The city was once a center of the textile industry.	這座城市曾經是紡織業的中心。	[{"text":"the textile industry","meaningZh":"紡織業"},{"text":"textile design","meaningZh":"紡織品設計"}]
texture	noun	noun	the feel, appearance, or consistency of a surface or substance	質地；紋理；口感	常用於描述食物、布料、皮膚等表面觸感，如 smooth/rough texture。	The cake has a light, fluffy texture.	這個蛋糕的口感輕盈鬆軟。	[{"text":"a smooth texture","meaningZh":"光滑的質地"},{"text":"a creamy texture","meaningZh":"綿密滑順的口感"}]
theater	noun	noun	a building or outdoor area where plays, movies, or other performances take place	劇院；電影院	美式拼法為 theater，英式為 theatre；也可比喻指事件發生的場域，如 theater of war。	They went to the theater to see a new play last night.	他們昨晚去劇院看了一齣新戲。	[{"text":"go to the theater","meaningZh":"去劇院看戲"},{"text":"a movie theater","meaningZh":"電影院"}]
theft	noun	noun	the act of stealing something	竊盜；偷竊行為	常見搭配 identity theft、petty theft；為不可數名詞，指偷竊這件事本身，而非被偷的物品。	The store installed cameras to prevent theft.	這家店裝設攝影機以防止竊盜。	[{"text":"identity theft","meaningZh":"身分盜用"},{"text":"report a theft","meaningZh":"報案遭竊"}]
thematic	adjective	adjective	relating to or organized around a particular subject or theme	主題的；題材的	常見搭配 thematic analysis、thematic unit（主題式教學單元），多用於學術或教育語境。	The museum exhibit uses a thematic approach, grouping art by era.	這場博物館展覽採用主題式手法，依時代將藝術品分類。	[{"text":"thematic analysis","meaningZh":"主題分析"},{"text":"a thematic approach","meaningZh":"以主題為導向的方法"}]
theme	noun	noun	the main subject or central idea of a piece of writing, art, or discussion	主題；核心思想	常見搭配 the theme of a novel/conference；也可指裝飾或活動的主題，如 a party theme。	The central theme of the novel is the struggle for identity.	這本小說的核心主題是身分認同的掙扎。	[{"text":"a central theme","meaningZh":"核心主題"},{"text":"a recurring theme","meaningZh":"反覆出現的主題"}]
theoretical	adjective	adjective	based on or existing only in theory rather than practice	理論上的；理論性的	常與 practical 相對，強調尚未經實務驗證，如 theoretical physics、theoretical possibility。	The idea sounds good in theory, but it has never been tested in practice.	這個想法在理論上聽起來不錯，但從未經過實務驗證。	[{"text":"a theoretical framework","meaningZh":"理論架構"},{"text":"theoretical knowledge","meaningZh":"理論知識"}]
