lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
abandon	verb	verb	to leave someone or something behind without intending to return	拋棄；遺棄	及物動詞，直接接受詞；abandon a person 指棄人不顧，abandon a vehicle 指棄置車輛。	The crew had to abandon the sinking ship.	船員不得不棄船逃生，因為船正在下沉。
abandon	verb_plan	verb	to stop pursuing a plan, activity, or belief	放棄計畫、活動或信念	常接 plan、attempt 或 hope；也可用 abandon doing something 表示放棄做某事。	They decided to abandon the plan because it was too expensive.	他們因為費用太高，決定放棄這項計畫。
abandon	verb_emotion	verb	to allow an emotion or activity to take complete control of oneself	完全沉浸於某種情緒或活動	用 abandon oneself to，to 是介系詞，後接名詞或動名詞；偏文學語氣。	She abandoned herself to grief after hearing the news.	她聽到消息後，陷入深深的悲痛之中。
abandon	noun	noun	complete freedom from restraint or worry	無拘無束；忘情	不可數名詞，通常用 with abandon 或 with reckless abandon，描述毫無顧忌的行為。	The children danced with abandon in the rain.	孩子們在雨中無拘無束地跳舞。
abate	verb	verb	to become less intense or severe, or to make something less intense or severe	減弱；減輕；緩和	常描述風暴、疼痛或怒氣逐漸減弱；可不接受詞，也可用於 abate a nuisance 等正式用語。	The storm finally began to abate before dawn.	暴風雨終於在黎明前開始減弱。
abdicate	verb	verb	to formally give up a throne or a position of power	退位；正式放棄權位	君主退位可直接用 abdicate，或接 the throne；不宜用來泛指一般員工辭職。	The king chose to abdicate in favor of his daughter.	國王選擇退位，將王位傳給女兒。
abdicate	verb_duty	verb	to fail or refuse to fulfill a responsibility	放棄履行職責	常用 abdicate responsibility，語氣帶有批評，表示不承擔本應負起的責任。	Leaders must not abdicate their responsibility to protect the public.	領導者不可放棄保護大眾的職責。
aberration	noun	noun	an occurrence that differs from what is normal or expected	偏離常態的現象	可數名詞；常用 an aberration 或 a statistical aberration，表示異常個案，未必代表長期趨勢。	The analyst treated the sudden drop as a temporary aberration.	分析師將這次突然下跌視為暫時偏離常態的現象。
abet	verb	verb	to help or encourage someone to do something wrong or illegal	幫助或教唆他人做壞事或違法	帶負面含義，常見於法律片語 aid and abet；不適合用來描述一般正面的協助。	He was accused of aiding and abetting the fraud.	他被指控協助並教唆這起詐欺行為。
abide	verb	verb	to tolerate someone or something unpleasant	忍受	此義通常出現在 cannot abide；後面可接名詞或動名詞，語氣比 dislike 強。	I cannot abide being interrupted while I am speaking.	我無法忍受說話時被打斷。
abide	verb_rules	verb	to accept and act according to a rule, decision, or agreement	遵守規則、決定或協議	此義必須用 abide by；by 後接 rules、a decision 或 an agreement，不能省略。	All members must abide by the club's rules.	所有會員都必須遵守俱樂部的規定。
abide	verb_remain	verb	to remain or live in a place	停留；居住	屬古老或文學用法，日常談居住通常用 live 或 stay；此義不加 by。	They vowed to abide together in the valley.	他們誓言一同住在山谷裡。
abnormal	adjective	adjective	different from what is usual or expected, especially in a concerning way	異常的；不正常的	常修飾 results、growth 或 behavior；描述檢測數值時指偏離正常範圍，不等於已確診疾病。	The test revealed an abnormal heart rhythm.	檢查發現心律異常。
aboard	adverb	adverb	on or onto a ship, aircraft, train, or other vehicle	在交通工具上；登上交通工具	作副詞時後面不接受詞，常見 go aboard、climb aboard；有受詞時 aboard 作介系詞。	The passengers climbed aboard just before departure.	乘客在出發前才登上交通工具。
aboard	preposition	preposition	on or onto a ship, aircraft, train, or other vehicle	在船、飛機或火車上；登上	直接接交通工具名稱，例如 aboard the plane，不需要再加 on。	There were eighty passengers aboard the plane.	飛機上有八十名乘客。
aboard	adverb_team	adverb	as a new member of a team or organization	加入團隊或組織	常用 welcome aboard 歡迎新成員，也用 bring someone aboard 表示延攬某人。	Welcome aboard! We look forward to working with you.	歡迎加入！我們期待與你共事。
abolish	verb	verb	to officially end a law, system, or practice	正式廢除法律、制度或慣例	常接 law、slavery、tax 等制度性事物；不用於取消單次會議，後者通常用 cancel。	The government voted to abolish the outdated law.	政府表決通過廢除這項過時的法律。
abolition	noun	noun	the official ending of a law, system, or practice	法律、制度或慣例的廢除	通常不可數，常用 the abolition of；談歷史時，the abolition of slavery 指廢除奴隸制度。	The abolition of slavery did not immediately end racial discrimination.	奴隸制度的廢除並未立即終結種族歧視。
aboriginal	adjective	adjective	relating to the Indigenous peoples of Australia	澳洲原住民族的	指澳洲原住民族時通常大寫為 Aboriginal；應尊重當事人的族名與自我稱呼。	The exhibition features works by Aboriginal artists.	這場展覽展出澳洲原住民族藝術家的作品。
aboriginal	adjective_original	adjective	existing in a place from the earliest known times	自最早時期便存在於當地的；原生的	此義較少見，多用於歷史或學術語境；不應將原住民族概括譯成「原始的」。	The study examines the island's aboriginal flora.	這項研究探討該島的原生植物群。
abrasive	noun	noun	a material used to rub a surface smooth or clean	研磨材料；磨料	可數或不可數，常見於清潔及加工語境；sandpaper 是一種 abrasive。	Use a mild abrasive to remove the stain without scratching the surface.	使用溫和的研磨清潔材料去除污漬，以免刮傷表面。
abrasive	adjective	adjective	able to wear away or clean a surface by rubbing	有研磨作用的	常修飾 material、pad 或 cleaner，指能藉摩擦磨除表面物質。	Do not use abrasive cleaners on the glass.	不要在玻璃上使用研磨性清潔劑。
abrasive	adjective_manner	adjective	rude and harsh in a way that irritates other people	態度粗魯刺人的	形容人或說話方式，常見 abrasive manner 或 abrasive personality；比單純的 direct 更負面。	Her abrasive tone made the discussion unnecessarily tense.	她刺人的語氣讓討論變得不必要地緊張。
abrupt	adjective	adjective	sudden and unexpected	突然的；出乎意料的	常見 an abrupt change 或 come to an abrupt end，強調轉變缺乏過渡。	The meeting came to an abrupt end when the power failed.	停電使會議突然中止。
abrupt	adjective_manner	adjective	brief and unfriendly in speech or manner	言行簡短而生硬的；唐突的	常用 be abrupt with someone，表示對某人的回應生硬，可能令人覺得無禮。	I am sorry I was so abrupt with you earlier.	抱歉，我剛才對你的態度太生硬了。
