lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
unsettle	verb	verb	to make someone feel anxious or uneasy	使人不安；使心神不寧	常見 be unsettled by something，強調事件或消息造成的心理不安，語氣正式。	The strange noise unsettled the children.	那個奇怪的聲音使孩子們感到不安。
untold	adjective_amount	adjective	too great or too many to be counted or measured	難以計數的；無數的	常修飾 damage、wealth、suffering 等抽象名詞，強調程度極大，語氣書面。	The war caused untold suffering to civilians.	這場戰爭為平民帶來了難以計數的苦難。
untold	adjective_unrevealed	adjective	not told or made public	未透露的；未被說出的	常見 an untold story（未被說出的故事），強調事情尚未被公開或講述。	This is the untold story of the mission's true cost.	這是這次任務真正代價那段未被說出的故事。
unveil	verb	verb	to show or announce something publicly for the first time	揭露；公開展示；揭幕	常見 unveil a plan/product/statue，指首次向大眾展示或公布某事物。	The company unveiled its latest smartphone at the conference.	這家公司在大會上發表了其最新款智慧型手機。
unwarranted	adjective	adjective	not justified or authorized; unnecessary	無根據的；不正當的	常修飾 criticism、attack、fear 等，強調缺乏合理理由的行為或情緒。	Her harsh criticism of the intern was completely unwarranted.	她對這名實習生的嚴厲批評完全沒有道理。
update	noun	noun	a piece of new information about a situation, or a new version of software	最新消息；更新（軟體）	常見 give an update（提供最新消息）、software update（軟體更新），資訊科技語境常用。	Please send me an update on the project's progress.	請把專案進度的最新消息寄給我。
update	verb	verb	to give someone the latest information, or to make something more modern or current	更新；使知悉最新狀況	常見 update a file/record，也可指告知某人最新情況，如 update someone on。	She updated the software to fix the security bug.	她更新了軟體以修復這個安全漏洞。
upgrade	noun	noun	an improvement or addition that makes something better or more advanced	升級（版）	常見 a free upgrade、software upgrade，指設備、系統或服務等級的提升。	He received a free upgrade to business class on his flight.	他這趟航班獲得免費升等到商務艙。
uphold	verb	verb	to confirm or support something, especially a law, decision, or principle	維護；支持；堅持	常見 uphold the law/a decision，強調堅定支持既有規範或裁決，語氣正式。	The court upheld the original verdict on appeal.	法院在上訴時維持了原判決。
upright	adjective	adjective	vertical or in a straight position, or honest and morally correct	直立的；正直的	物理義指姿勢挺直，如 sit upright；比喻義形容人品行端正，如 an upright citizen。	Please keep your seat in the upright position during takeoff.	起飛時請將椅背保持在直立位置。
urban	adjective	adjective	relating to a city or densely populated area	城市的；都市的	常見 urban area/planning/life，與 rural（鄉村的）相對。	The city government focused on improving urban public transport.	市政府致力於改善都市大眾運輸系統。
urge	verb	verb	to strongly encourage or advise someone to do something	力勸；敦促	常接 urge someone to do something，語氣比 encourage 更強烈、更急迫。	Doctors urged the public to get vaccinated before winter.	醫生們敦促民眾在冬季來臨前接種疫苗。
urge	noun	noun	a strong desire or impulse to do something	衝動；強烈慾望	常見 have an urge to do something，指難以壓抑的內心衝動。	She felt a sudden urge to laugh during the meeting.	她在會議中突然有股想笑的衝動。
urgency	noun	noun	the quality of requiring immediate action or attention	緊急；急迫性	常見 a sense of urgency（急迫感），強調事情需要立即處理的程度。	The doctor's tone conveyed a real sense of urgency.	醫生的語氣傳達出真正的急迫感。
urgent	adjective	adjective	requiring immediate action or attention	緊急的；急迫的	常修飾 matter、message、need，強調不能拖延、需立刻處理。	She left the meeting to take an urgent phone call.	她離開會議去接一通緊急電話。
usage	noun	noun	the way in which a word or phrase is used, or the amount of something used	用法；使用（量）	常見 word usage（詞語用法）、water usage（用水量），依語境略有不同。	The dictionary gives examples of correct word usage.	這本字典提供了正確用詞的例句。
useless	adjective	adjective	not fulfilling or not able to fulfill the intended purpose or function	無用的；沒有用的	常接 useless at/for，也可用於自嘲或抱怨，如 I'm useless at cooking。	This old phone is useless without a charger.	沒有充電器的話，這支舊手機就沒用了。
usurp	verb	verb	to take a position of power or authority illegally or by force	篡奪；奪取（權力）	常見 usurp the throne/power，語氣正式，多用於政治或歷史情境。	The general usurped the throne after a violent coup.	這名將軍在一場暴力政變後篡奪了王位。
utilitarian	adjective	adjective	designed to be useful or practical rather than attractive	實用主義的；功利的	常修飾 design、furniture，強調重視實用性勝過美觀，語氣中性偏正式。	The building's utilitarian design prioritizes function over beauty.	這棟建築物採用實用主義的設計，重視功能勝過美觀。
utilitarian	noun	noun	a person who believes actions should be judged by their usefulness or benefit to the majority	功利主義者	哲學用語，指主張以行為對多數人利益之貢獻來評斷道德價值的人。	As a utilitarian, she judges policies by their overall benefit to society.	身為功利主義者，她以政策對整體社會的效益來評判其優劣。
