lemma	sense	pos	definitionEn	definitionZh	usageExplanationZh	exampleEn	exampleZh
autonomy	noun	noun	the right or condition of self-government or acting independently	自治；自主權	常用 political autonomy 或 personal autonomy，也可指組織或個人不受外力干涉、自行決策的狀態。	The region was granted a degree of autonomy after decades of conflict.	這個地區在數十年的衝突後獲得了一定程度的自治權。
auxiliary	adjective	adjective	providing supplementary help or support to something more important	輔助的；備用的	常修飾 verb（助動詞）、power 或 staff，強調在主要系統之外提供支援。	The building has an auxiliary generator in case the main power fails.	這棟大樓備有輔助發電機，以防主電力供應中斷。
avarice	noun	noun	extreme and often excessive desire for wealth	貪婪；貪財	正式書面用語，語氣比 greed 更強烈，常見於描述人性弱點的評論或文學作品。	His avarice led him to betray his closest friends for money.	他的貪婪使他為了金錢背叛了最親近的朋友。
avenge	verb	verb	to inflict punishment or harm in return for a wrong done to oneself or another	為某人報仇；替某事雪恨	常見 avenge someone/something 的結構，語氣正式且帶有道德正當性，不同於中性的 revenge（名詞為主）。	She swore to avenge her brother's death.	她發誓要為哥哥的死報仇。
avenue	noun	noun	a way of approaching a problem or achieving a goal	途徑；方法	常用 explore every avenue 或 an avenue for/to，比喻尚未嘗試的解決方式或機會。	They explored every avenue before deciding to file a lawsuit.	他們在決定提告之前，嘗試了每一種可能的途徑。
aversion	noun	noun	a strong feeling of dislike or reluctance toward something	厭惡；反感	常接 to，如 aversion to risk；aversion 較 dislike 語氣更強，也可用於心理學術語 risk aversion。	He has a strong aversion to public speaking.	他非常厭惡公開演講。
aviation	noun	noun	the design, development, and operation of aircraft	航空；航空業	常見於 civil aviation、aviation industry，泛指飛機相關的產業或技術領域。	She has worked in the aviation industry for over twenty years.	她在航空業已經工作超過二十年了。
avid	adjective	adjective	having or showing great enthusiasm or interest in an activity	熱衷的；渴望的	常修飾表達興趣的名詞，如 avid reader、avid fan，語氣正面，強調投入程度高。	He is an avid collector of vintage cameras.	他是熱衷收集古董相機的愛好者。
awareness	noun	noun	knowledge or perception of a situation or fact	意識；認知	常見 raise awareness of，指提升大眾對某議題的關注；也可用 self-awareness 表自我覺察。	The campaign aims to raise awareness of climate change.	這項活動旨在提升大眾對氣候變遷的意識。
awkward	adjective	adjective	causing or feeling embarrassment or discomfort in a social situation	尷尬的；令人不自在的	常修飾 silence、moment 或 situation；也可形容動作不靈活，如 an awkward movement。	There was an awkward silence after his joke fell flat.	他的笑話沒能引起笑聲後，出現了一陣尷尬的沉默。
axis	noun	noun	an imaginary or real line around which an object rotates or is symmetrically arranged	軸；軸線	常見於 the Earth's axis、x-axis，也可比喻指核心關係，如 the axis of power。	The Earth rotates on its axis once every twenty-four hours.	地球每二十四小時繞其軸自轉一圈。
babble	verb	verb	to talk rapidly and continuously in a foolish or incoherent way	喋喋不休；胡言亂語	常帶輕微負面意味，形容說話瑣碎或不知所云；嬰兒發出無意義聲音也用此字。	He babbled on about his weekend while everyone else tried to work.	大家都在工作時，他還在喋喋不休地講他的週末。
babble	noun	noun	continuous confused or foolish talk	胡言亂語；喋喋不休的話語	不可數名詞，常搭配 a stream of babble，形容連續不斷卻沒有意義的言語。	I couldn't follow her babble about the new project.	我聽不懂她對新專案講的那些含糊不清的話。
bachelor	noun	noun	a man who has never been married	單身漢；未婚男子	描述男性未婚身分，語氣中性略帶傳統色彩；現今常用 single 取代以避免性別限定。	He remained a confirmed bachelor well into his fifties.	他到五十多歲仍是個不折不扣的單身漢。
backward	adjective	adjective	directed toward the back or the past; less developed than expected	向後的；落後的	描述方向時指朝後，如 a backward glance；描述國家或地區發展時可能帶貶意，需留意語境。	He gave a backward glance before leaving the room.	他離開房間前回頭看了一眼。
bacon	noun	noun	cured meat from the back or sides of a pig	培根；燻豬肉	常見於早餐食物描述，如 bacon and eggs；片語 bring home the bacon 指賺錢養家。	She fried some bacon for breakfast.	她煎了一些培根當早餐。
